natx =      705
    x       y        z       iph  
      0.00000      0.00000      0.00000   0      0.00000
      1.35275      1.35275      1.35275   2      2.34303
     -1.35275      1.35275      1.35275   2      2.34303
      1.35275     -1.35275      1.35275   2      2.34303
     -1.35275     -1.35275      1.35275   2      2.34303
      1.35275      1.35275     -1.35275   2      2.34303
     -1.35275      1.35275     -1.35275   2      2.34303
      1.35275     -1.35275     -1.35275   2      2.34303
     -1.35275     -1.35275     -1.35275   2      2.34303
      2.70550      2.70550      0.00000   1      3.82615
     -2.70550      2.70550      0.00000   1      3.82615
      2.70550     -2.70550      0.00000   1      3.82615
     -2.70550     -2.70550      0.00000   1      3.82615
      2.70550      0.00000      2.70550   1      3.82615
     -2.70550      0.00000      2.70550   1      3.82615
      0.00000      2.70550      2.70550   1      3.82615
      0.00000     -2.70550      2.70550   1      3.82615
      2.70550      0.00000     -2.70550   1      3.82615
     -2.70550      0.00000     -2.70550   1      3.82615
      0.00000      2.70550     -2.70550   1      3.82615
      0.00000     -2.70550     -2.70550   1      3.82615
      4.05825      1.35275      1.35275   2      4.48656
     -4.05825      1.35275      1.35275   2      4.48656
      1.35275      4.05825      1.35275   2      4.48656
     -1.35275      4.05825      1.35275   2      4.48656
      4.05825     -1.35275      1.35275   2      4.48656
     -4.05825     -1.35275      1.35275   2      4.48656
      1.35275     -4.05825      1.35275   2      4.48656
     -1.35275     -4.05825      1.35275   2      4.48656
      1.35275      1.35275      4.05825   2      4.48656
     -1.35275      1.35275      4.05825   2      4.48656
      1.35275     -1.35275      4.05825   2      4.48656
     -1.35275     -1.35275      4.05825   2      4.48656
      4.05825      1.35275     -1.35275   2      4.48656
     -4.05825      1.35275     -1.35275   2      4.48656
      1.35275      4.05825     -1.35275   2      4.48656
     -1.35275      4.05825     -1.35275   2      4.48656
      4.05825     -1.35275     -1.35275   2      4.48656
     -4.05825     -1.35275     -1.35275   2      4.48656
      1.35275     -4.05825     -1.35275   2      4.48656
     -1.35275     -4.05825     -1.35275   2      4.48656
      1.35275      1.35275     -4.05825   2      4.48656
     -1.35275      1.35275     -4.05825   2      4.48656
      1.35275     -1.35275     -4.05825   2      4.48656
     -1.35275     -1.35275     -4.05825   2      4.48656
      5.41100      0.00000      0.00000   1      5.41100
     -5.41100      0.00000      0.00000   1      5.41100
      0.00000      5.41100      0.00000   1      5.41100
      0.00000     -5.41100      0.00000   1      5.41100
      0.00000      0.00000      5.41100   1      5.41100
      0.00000      0.00000     -5.41100   1      5.41100
      4.05825      4.05825      1.35275   2      5.89650
     -4.05825      4.05825      1.35275   2      5.89650
      4.05825     -4.05825      1.35275   2      5.89650
     -4.05825     -4.05825      1.35275   2      5.89650
      4.05825      1.35275      4.05825   2      5.89650
     -4.05825      1.35275      4.05825   2      5.89650
      1.35275      4.05825      4.05825   2      5.89650
     -1.35275      4.05825      4.05825   2      5.89650
      4.05825     -1.35275      4.05825   2      5.89650
     -4.05825     -1.35275      4.05825   2      5.89650
      1.35275     -4.05825      4.05825   2      5.89650
     -1.35275     -4.05825      4.05825   2      5.89650
      4.05825      4.05825     -1.35275   2      5.89650
     -4.05825      4.05825     -1.35275   2      5.89650
      4.05825     -4.05825     -1.35275   2      5.89650
     -4.05825     -4.05825     -1.35275   2      5.89650
      4.05825      1.35275     -4.05825   2      5.89650
     -4.05825      1.35275     -4.05825   2      5.89650
      1.35275      4.05825     -4.05825   2      5.89650
     -1.35275      4.05825     -4.05825   2      5.89650
      4.05825     -1.35275     -4.05825   2      5.89650
     -4.05825     -1.35275     -4.05825   2      5.89650
      1.35275     -4.05825     -4.05825   2      5.89650
     -1.35275     -4.05825     -4.05825   2      5.89650
      5.41100      2.70550      2.70550   1      6.62709
     -5.41100      2.70550      2.70550   1      6.62709
      2.70550      5.41100      2.70550   1      6.62709
     -2.70550      5.41100      2.70550   1      6.62709
      5.41100     -2.70550      2.70550   1      6.62709
     -5.41100     -2.70550      2.70550   1      6.62709
      2.70550     -5.41100      2.70550   1      6.62709
     -2.70550     -5.41100      2.70550   1      6.62709
      2.70550      2.70550      5.41100   1      6.62709
     -2.70550      2.70550      5.41100   1      6.62709
      2.70550     -2.70550      5.41100   1      6.62709
     -2.70550     -2.70550      5.41100   1      6.62709
      5.41100      2.70550     -2.70550   1      6.62709
     -5.41100      2.70550     -2.70550   1      6.62709
      2.70550      5.41100     -2.70550   1      6.62709
     -2.70550      5.41100     -2.70550   1      6.62709
      5.41100     -2.70550     -2.70550   1      6.62709
     -5.41100     -2.70550     -2.70550   1      6.62709
