natx =      691
    x       y        z       iph  
      0.00000      0.00000      0.00000   0      0.00000
      2.22245      0.00000      0.00000   2      2.22245
     -2.22245      0.00000      0.00000   2      2.22245
      0.00000      2.22245      0.00000   2      2.22245
      0.00000     -2.22245      0.00000   2      2.22245
      0.00000      0.00000      2.22245   2      2.22245
      0.00000      0.00000     -2.22245   2      2.22245
      2.22245      2.22245      0.00000   1      3.14302
     -2.22245      2.22245      0.00000   1      3.14302
      2.22245     -2.22245      0.00000   1      3.14302
     -2.22245     -2.22245      0.00000   1      3.14302
      2.22245      0.00000      2.22245   1      3.14302
     -2.22245      0.00000      2.22245   1      3.14302
      0.00000      2.22245      2.22245   1      3.14302
      0.00000     -2.22245      2.22245   1      3.14302
      2.22245      0.00000     -2.22245   1      3.14302
     -2.22245      0.00000     -2.22245   1      3.14302
      0.00000      2.22245     -2.22245   1      3.14302
      0.00000     -2.22245     -2.22245   1      3.14302
      2.22245      2.22245      2.22245   2      3.84940
     -2.22245      2.22245      2.22245   2      3.84940
      2.22245     -2.22245      2.22245   2      3.84940
     -2.22245     -2.22245      2.22245   2      3.84940
      2.22245      2.22245     -2.22245   2      3.84940
     -2.22245      2.22245     -2.22245   2      3.84940
      2.22245     -2.22245     -2.22245   2      3.84940
     -2.22245     -2.22245     -2.22245   2      3.84940
      4.44490      0.00000      0.00000   1      4.44490
     -4.44490      0.00000      0.00000   1      4.44490
      0.00000      4.44490      0.00000   1      4.44490
      0.00000     -4.44490      0.00000   1      4.44490
      0.00000      0.00000      4.44490   1      4.44490
      0.00000      0.00000     -4.44490   1      4.44490
      4.44490      2.22245      0.00000   2      4.96955
     -4.44490      2.22245      0.00000   2      4.96955
      2.22245      4.44490      0.00000   2      4.96955
     -2.22245      4.44490      0.00000   2      4.96955
      4.44490     -2.22245      0.00000   2      4.96955
     -4.44490     -2.22245      0.00000   2      4.96955
      2.22245     -4.44490      0.00000   2      4.96955
     -2.22245     -4.44490      0.00000   2      4.96955
      4.44490      0.00000      2.22245   2      4.96955
     -4.44490      0.00000      2.22245   2      4.96955
      0.00000      4.44490      2.22245   2      4.96955
      0.00000     -4.44490      2.22245   2      4.96955
      2.22245      0.00000      4.44490   2      4.96955
     -2.22245      0.00000      4.44490   2      4.96955
      0.00000      2.22245      4.44490   2      4.96955
      0.00000     -2.22245      4.44490   2      4.96955
      4.44490      0.00000     -2.22245   2      4.96955
     -4.44490      0.00000     -2.22245   2      4.96955
      0.00000      4.44490     -2.22245   2      4.96955
      0.00000     -4.44490     -2.22245   2      4.96955
      2.22245      0.00000     -4.44490   2      4.96955
     -2.22245      0.00000     -4.44490   2      4.96955
      0.00000      2.22245     -4.44490   2      4.96955
      0.00000     -2.22245     -4.44490   2      4.96955
      4.44490      2.22245      2.22245   1      5.44387
     -4.44490      2.22245      2.22245   1      5.44387
      2.22245      4.44490      2.22245   1      5.44387
     -2.22245      4.44490      2.22245   1      5.44387
      4.44490     -2.22245      2.22245   1      5.44387
     -4.44490     -2.22245      2.22245   1      5.44387
      2.22245     -4.44490      2.22245   1      5.44387
     -2.22245     -4.44490      2.22245   1      5.44387
      2.22245      2.22245      4.44490   1      5.44387
     -2.22245      2.22245      4.44490   1      5.44387
      2.22245     -2.22245      4.44490   1      5.44387
     -2.22245     -2.22245      4.44490   1      5.44387
      4.44490      2.22245     -2.22245   1      5.44387
     -4.44490      2.22245     -2.22245   1      5.44387
      2.22245      4.44490     -2.22245   1      5.44387
     -2.22245      4.44490     -2.22245   1      5.44387
      4.44490     -2.22245     -2.22245   1      5.44387
     -4.44490     -2.22245     -2.22245   1      5.44387
      2.22245     -4.44490     -2.22245   1      5.44387
     -2.22245     -4.44490     -2.22245   1      5.44387
      2.22245      2.22245     -4.44490   1      5.44387
     -2.22245      2.22245     -4.44490   1      5.44387
      2.22245     -2.22245     -4.44490   1      5.44387
     -2.22245     -2.22245     -4.44490   1      5.44387
      4.44490      4.44490      0.00000   1      6.28604
     -4.44490      4.44490      0.00000   1      6.28604
      4.44490     -4.44490      0.00000   1      6.28604
