natx =      461
    x       y        z       iph  
      0.00000      0.00000      0.00000   0      0.00000
      2.08420      0.00000      0.00000   2      2.08420
     -2.08420      0.00000      0.00000   2      2.08420
      0.00000      2.08420      0.00000   2      2.08420
      0.00000     -2.08420      0.00000   2      2.08420
      0.00000      0.00000      2.08420   2      2.08420
      0.00000      0.00000     -2.08420   2      2.08420
      2.08420      2.08420      0.00000   1      2.94750
     -2.08420      2.08420      0.00000   1      2.94750
      2.08420     -2.08420      0.00000   1      2.94750
     -2.08420     -2.08420      0.00000   1      2.94750
      2.08420      0.00000      2.08420   1      2.94750
     -2.08420      0.00000      2.08420   1      2.94750
      0.00000      2.08420      2.08420   1      2.94750
      0.00000     -2.08420      2.08420   1      2.94750
      2.08420      0.00000     -2.08420   1      2.94750
     -2.08420      0.00000     -2.08420   1      2.94750
      0.00000      2.08420     -2.08420   1      2.94750
      0.00000     -2.08420     -2.08420   1      2.94750
      2.08420      2.08420      2.08420   2      3.60994
     -2.08420      2.08420      2.08420   2      3.60994
      2.08420     -2.08420      2.08420   2      3.60994
     -2.08420     -2.08420      2.08420   2      3.60994
      2.08420      2.08420     -2.08420   2      3.60994
     -2.08420      2.08420     -2.08420   2      3.60994
      2.08420     -2.08420     -2.08420   2      3.60994
     -2.08420     -2.08420     -2.08420   2      3.60994
      4.16840      0.00000      0.00000   1      4.16840
     -4.16840      0.00000      0.00000   1      4.16840
      0.00000      4.16840      0.00000   1      4.16840
      0.00000     -4.16840      0.00000   1      4.16840
      0.00000      0.00000      4.16840   1      4.16840
      0.00000      0.00000     -4.16840   1      4.16840
      4.16840      2.08420      0.00000   2      4.66041
     -4.16840      2.08420      0.00000   2      4.66041
      2.08420      4.16840      0.00000   2      4.66041
     -2.08420      4.16840      0.00000   2      4.66041
      4.16840     -2.08420      0.00000   2      4.66041
     -4.16840     -2.08420      0.00000   2      4.66041
      2.08420     -4.16840      0.00000   2      4.66041
     -2.08420     -4.16840      0.00000   2      4.66041
      4.16840      0.00000      2.08420   2      4.66041
     -4.16840      0.00000      2.08420   2      4.66041
      0.00000      4.16840      2.08420   2      4.66041
      0.00000     -4.16840      2.08420   2      4.66041
      2.08420      0.00000      4.16840   2      4.66041
     -2.08420      0.00000      4.16840   2      4.66041
      0.00000      2.08420      4.16840   2      4.66041
      0.00000     -2.08420      4.16840   2      4.66041
      4.16840      0.00000     -2.08420   2      4.66041
     -4.16840      0.00000     -2.08420   2      4.66041
      0.00000      4.16840     -2.08420   2      4.66041
      0.00000     -4.16840     -2.08420   2      4.66041
      2.08420      0.00000     -4.16840   2      4.66041
     -2.08420      0.00000     -4.16840   2      4.66041
      0.00000      2.08420     -4.16840   2      4.66041
      0.00000     -2.08420     -4.16840   2      4.66041
      4.16840      2.08420      2.08420   1      5.10523
     -4.16840      2.08420      2.08420   1      5.10523
      2.08420      4.16840      2.08420   1      5.10523
     -2.08420      4.16840      2.08420   1      5.10523
      4.16840     -2.08420      2.08420   1      5.10523
     -4.16840     -2.08420      2.08420   1      5.10523
      2.08420     -4.16840      2.08420   1      5.10523
     -2.08420     -4.16840      2.08420   1      5.10523
      2.08420      2.08420      4.16840   1      5.10523
     -2.08420      2.08420      4.16840   1      5.10523
      2.08420     -2.08420      4.16840   1      5.10523
     -2.08420     -2.08420      4.16840   1      5.10523
      4.16840      2.08420     -2.08420   1      5.10523
     -4.16840      2.08420     -2.08420   1      5.10523
      2.08420      4.16840     -2.08420   1      5.10523
     -2.08420      4.16840     -2.08420   1      5.10523
      4.16840     -2.08420     -2.08420   1      5.10523
     -4.16840     -2.08420     -2.08420   1      5.10523
      2.08420     -4.16840     -2.08420   1      5.10523
     -2.08420     -4.16840     -2.08420   1      5.10523
      2.08420      2.08420     -4.16840   1      5.10523
     -2.08420      2.08420     -4.16840   1      5.10523
      2.08420     -2.08420     -4.16840   1      5.10523
     -2.08420     -2.08420     -4.16840   1      5.10523
      4.16840      4.16840      0.00000   1      5.89501
     -4.16840      4.16840      0.00000   1      5.89501
      4.16840     -4.16840      0.00000   1      5.89501
     -4.16840     -4.16840      0.00000   1      5.89501
      4.16840      0.00000      4.16840   1      5.89501
     -4.16840      0.00000      4.16840   1      5.89501
      0.00000      4.16840      4.16840   1      5.89501
      0.00000     -4.16840      4.16840   1      5.89501
      4.16840      0.00000     -4.16840   1      5.89501
     -4.16840      0.00000     -4.16840   1      5.89501
      0.00000      4.16840     -4.16840   1      5.89501
      0.00000     -4.16840     -4.16840   1      5.89501
      6.25260      0.00000      0.00000   2      6.25260
     -6.25260      0.00000      0.00000   2      6.25260
      0.00000      6.25260      0.00000   2      6.25260
      0.00000     -6.25260      0.00000   2      6.25260
      4.16840      4.16840      2.08420   2      6.25260
     -4.16840      4.16840      2.08420   2      6.25260
      4.16840     -4.16840      2.08420   2      6.25260
     -4.16840     -4.16840      2.08420   2      6.25260
      4.16840      2.08420      4.16840   2      6.25260
     -4.16840      2.08420      4.16840   2      6.25260
      2.08420      4.16840      4.16840   2      6.25260
     -2.08420      4.16840      4.16840   2      6.25260
      4.16840     -2.08420      4.16840   2      6.25260
     -4.16840     -2.08420      4.16840   2      6.25260
      2.08420     -4.16840      4.16840   2      6.25260
     -2.08420     -4.16840      4.16840   2      6.25260
      0.00000      0.00000      6.25260   2      6.25260
      4.16840      4.16840     -2.08420   2      6.25260
     -4.16840      4.16840     -2.08420   2      6.25260
      4.16840     -4.16840     -2.08420   2      6.25260
     -4.16840     -4.16840     -2.08420   2      6.25260
      4.16840      2.08420     -4.16840   2      6.25260
     -4.16840      2.08420     -4.16840   2      6.25260
      2.08420      4.16840     -4.16840   2      6.25260
     -2.08420      4.16840     -4.16840   2      6.25260
      4.16840     -2.08420     -4.16840   2      6.25260
     -4.16840     -2.08420     -4.16840   2      6.25260
      2.08420     -4.16840     -4.16840   2      6.25260
     -2.08420     -4.16840     -4.16840   2      6.25260
      0.00000      0.00000     -6.25260   2      6.25260
      6.25260      2.08420      0.00000   1      6.59082
     -6.25260      2.08420      0.00000   1      6.59082
      2.08420      6.25260      0.00000   1      6.59082
     -2.08420      6.25260      0.00000   1      6.59082
      6.25260     -2.08420      0.00000   1      6.59082
     -6.25260     -2.08420      0.00000   1      6.59082
      2.08420     -6.25260      0.00000   1      6.59082
     -2.08420     -6.25260      0.00000   1      6.59082
      6.25260      0.00000      2.08420   1      6.59082
     -6.25260      0.00000      2.08420   1      6.59082
      0.00000      6.25260      2.08420   1      6.59082
      0.00000     -6.25260      2.08420   1      6.59082
      2.08420      0.00000      6.25260   1      6.59082
     -2.08420      0.00000      6.25260   1      6.59082
      0.00000      2.08420      6.25260   1      6.59082
      0.00000     -2.08420      6.25260   1      6.59082
      6.25260      0.00000     -2.08420   1      6.59082
     -6.25260      0.00000     -2.08420   1      6.59082
      0.00000      6.25260     -2.08420   1      6.59082
      0.00000     -6.25260     -2.08420   1      6.59082
      2.08420      0.00000     -6.25260   1      6.59082
     -2.08420      0.00000     -6.25260   1      6.59082
      0.00000      2.08420     -6.25260   1      6.59082
      0.00000     -2.08420     -6.25260   1      6.59082
      6.25260      2.08420      2.08420   2      6.91251
     -6.25260      2.08420      2.08420   2      6.91251
      2.08420      6.25260      2.08420   2      6.91251
     -2.08420      6.25260      2.08420   2      6.91251
      6.25260     -2.08420      2.08420   2      6.91251
     -6.25260     -2.08420      2.08420   2      6.91251
      2.08420     -6.25260      2.08420   2      6.91251
     -2.08420     -6.25260      2.08420   2      6.91251
      2.08420      2.08420      6.25260   2      6.91251
     -2.08420      2.08420      6.25260   2      6.91251
      2.08420     -2.08420      6.25260   2      6.91251
     -2.08420     -2.08420      6.25260   2      6.91251
      6.25260      2.08420     -2.08420   2      6.91251
     -6.25260      2.08420     -2.08420   2      6.91251
      2.08420      6.25260     -2.08420   2      6.91251
     -2.08420      6.25260     -2.08420   2      6.91251
      6.25260     -2.08420     -2.08420   2      6.91251
     -6.25260     -2.08420     -2.08420   2      6.91251
      2.08420     -6.25260     -2.08420   2      6.91251
     -2.08420     -6.25260     -2.08420   2      6.91251
      2.08420      2.08420     -6.25260   2      6.91251
     -2.08420      2.08420     -6.25260   2      6.91251
      2.08420     -2.08420     -6.25260   2      6.91251
     -2.08420     -2.08420     -6.25260   2      6.91251
      4.16840      4.16840      4.16840   1      7.21988
     -4.16840      4.16840      4.16840   1      7.21988
      4.16840     -4.16840      4.16840   1      7.21988
     -4.16840     -4.16840      4.16840   1      7.21988
      4.16840      4.16840     -4.16840   1      7.21988
     -4.16840      4.16840     -4.16840   1      7.21988
      4.16840     -4.16840     -4.16840   1      7.21988
     -4.16840     -4.16840     -4.16840   1      7.21988
      6.25260      4.16840      0.00000   2      7.51469
     -6.25260      4.16840      0.00000   2      7.51469
      4.16840      6.25260      0.00000   2      7.51469
     -4.16840      6.25260      0.00000   2      7.51469
      6.25260     -4.16840      0.00000   2      7.51469
     -6.25260     -4.16840      0.00000   2      7.51469
      4.16840     -6.25260      0.00000   2      7.51469
     -4.16840     -6.25260      0.00000   2      7.51469
      6.25260      0.00000      4.16840   2      7.51469
     -6.25260      0.00000      4.16840   2      7.51469
      0.00000      6.25260      4.16840   2      7.51469
      0.00000     -6.25260      4.16840   2      7.51469
      4.16840      0.00000      6.25260   2      7.51469
     -4.16840      0.00000      6.25260   2      7.51469
      0.00000      4.16840      6.25260   2      7.51469
      0.00000     -4.16840      6.25260   2      7.51469
      6.25260      0.00000     -4.16840   2      7.51469
     -6.25260      0.00000     -4.16840   2      7.51469
      0.00000      6.25260     -4.16840   2      7.51469
      0.00000     -6.25260     -4.16840   2      7.51469
      4.16840      0.00000     -6.25260   2      7.51469
     -4.16840      0.00000     -6.25260   2      7.51469
      0.00000      4.16840     -6.25260   2      7.51469
      0.00000     -4.16840     -6.25260   2      7.51469
      6.25260      4.16840      2.08420   1      7.79836
     -6.25260      4.16840      2.08420   1      7.79836
      4.16840      6.25260      2.08420   1      7.79836
     -4.16840      6.25260      2.08420   1      7.79836
      6.25260     -4.16840      2.08420   1      7.79836
     -6.25260     -4.16840      2.08420   1      7.79836
      4.16840     -6.25260      2.08420   1      7.79836
