natx =      595
    x       y        z       iph  
      0.00000      0.00000      0.00000   1      0.00000
      1.95264      1.95264      0.00000   3      2.76145
     -1.95264      1.95264      0.00000   3      2.76145
      1.95264     -1.95264      0.00000   3      2.76145
     -1.95264     -1.95264      0.00000   3      2.76145
      1.95264      0.00000      1.95264   3      2.76145
     -1.95264      0.00000      1.95264   3      2.76145
      0.00000      1.95264      1.95264   3      2.76145
      0.00000     -1.95264      1.95264   3      2.76145
      1.95264      0.00000     -1.95264   3      2.76145
     -1.95264      0.00000     -1.95264   3      2.76145
      0.00000      1.95264     -1.95264   3      2.76145
      0.00000     -1.95264     -1.95264   3      2.76145
      1.95264      1.95264      1.95264   0      3.38207
     -1.95264      1.95264      1.95264   2      3.38207
      1.95264     -1.95264      1.95264   2      3.38207
     -1.95264     -1.95264      1.95264   2      3.38207
      1.95264      1.95264     -1.95264   2      3.38207
     -1.95264      1.95264     -1.95264   2      3.38207
      1.95264     -1.95264     -1.95264   2      3.38207
     -1.95264     -1.95264     -1.95264   2      3.38207
      3.90528      0.00000      0.00000   1      3.90528
     -3.90528      0.00000      0.00000   1      3.90528
      0.00000      3.90528      0.00000   1      3.90528
      0.00000     -3.90528      0.00000   1      3.90528
      0.00000      0.00000      3.90528   1      3.90528
      0.00000      0.00000     -3.90528   1      3.90528
      3.90528      1.95264      1.95264   3      4.78297
     -3.90528      1.95264      1.95264   3      4.78297
      1.95264      3.90528      1.95264   3      4.78297
     -1.95264      3.90528      1.95264   3      4.78297
      3.90528     -1.95264      1.95264   3      4.78297
     -3.90528     -1.95264      1.95264   3      4.78297
      1.95264     -3.90528      1.95264   3      4.78297
     -1.95264     -3.90528      1.95264   3      4.78297
      1.95264      1.95264      3.90528   3      4.78297
     -1.95264      1.95264      3.90528   3      4.78297
      1.95264     -1.95264      3.90528   3      4.78297
     -1.95264     -1.95264      3.90528   3      4.78297
      3.90528      1.95264     -1.95264   3      4.78297
     -3.90528      1.95264     -1.95264   3      4.78297
      1.95264      3.90528     -1.95264   3      4.78297
     -1.95264      3.90528     -1.95264   3      4.78297
      3.90528     -1.95264     -1.95264   3      4.78297
     -3.90528     -1.95264     -1.95264   3      4.78297
      1.95264     -3.90528     -1.95264   3      4.78297
     -1.95264     -3.90528     -1.95264   3      4.78297
      1.95264      1.95264     -3.90528   3      4.78297
     -1.95264      1.95264     -3.90528   3      4.78297
      1.95264     -1.95264     -3.90528   3      4.78297
     -1.95264     -1.95264     -3.90528   3      4.78297
      3.90528      3.90528      0.00000   1      5.52290
     -3.90528      3.90528      0.00000   1      5.52290
      3.90528     -3.90528      0.00000   1      5.52290
     -3.90528     -3.90528      0.00000   1      5.52290
      3.90528      0.00000      3.90528   1      5.52290
     -3.90528      0.00000      3.90528   1      5.52290
      0.00000      3.90528      3.90528   1      5.52290
      0.00000     -3.90528      3.90528   1      5.52290
      3.90528      0.00000     -3.90528   1      5.52290
     -3.90528      0.00000     -3.90528   1      5.52290
      0.00000      3.90528     -3.90528   1      5.52290
      0.00000     -3.90528     -3.90528   1      5.52290
      5.85792      1.95264      0.00000   3      6.17479
     -5.85792      1.95264      0.00000   3      6.17479
      1.95264      5.85792      0.00000   3      6.17479
     -1.95264      5.85792      0.00000   3      6.17479
      5.85792     -1.95264      0.00000   3      6.17479
     -5.85792     -1.95264      0.00000   3      6.17479
      1.95264     -5.85792      0.00000   3      6.17479
     -1.95264     -5.85792      0.00000   3      6.17479
      5.85792      0.00000      1.95264   3      6.17479
     -5.85792      0.00000      1.95264   3      6.17479
      0.00000      5.85792      1.95264   3      6.17479
      0.00000     -5.85792      1.95264   3      6.17479
      1.95264      0.00000      5.85792   3      6.17479
     -1.95264      0.00000      5.85792   3      6.17479
      0.00000      1.95264      5.85792   3      6.17479
      0.00000     -1.95264      5.85792   3      6.17479
      5.85792      0.00000     -1.95264   3      6.17479
     -5.85792      0.00000     -1.95264   3      6.17479
      0.00000      5.85792     -1.95264   3      6.17479
      0.00000     -5.85792     -1.95264   3      6.17479
      1.95264      0.00000     -5.85792   3      6.17479
     -1.95264      0.00000     -5.85792   3      6.17479
      0.00000      1.95264     -5.85792   3      6.17479
      0.00000     -1.95264     -5.85792   3      6.17479
      5.85792      1.95264      1.95264   2      6.47617
     -5.85792      1.95264      1.95264   2      6.47617
      1.95264      5.85792      1.95264   2      6.47617
     -1.95264      5.85792      1.95264   2      6.47617
      5.85792     -1.95264      1.95264   2      6.47617
     -5.85792     -1.95264      1.95264   2      6.47617
      1.95264     -5.85792      1.95264   2      6.47617
     -1.95264     -5.85792      1.95264   2      6.47617
      1.95264      1.95264      5.85792   2      6.47617
     -1.95264      1.95264      5.85792   2      6.47617
      1.95264     -1.95264      5.85792   2      6.47617
     -1.95264     -1.95264      5.85792   2      6.47617
      5.85792      1.95264     -1.95264   2      6.47617
     -5.85792      1.95264     -1.95264   2      6.47617
      1.95264      5.85792     -1.95264   2      6.47617
     -1.95264      5.85792     -1.95264   2      6.47617
      5.85792     -1.95264     -1.95264   2      6.47617
     -5.85792     -1.95264     -1.95264   2      6.47617
      1.95264     -5.85792     -1.95264   2      6.47617
     -1.95264     -5.85792     -1.95264   2      6.47617
      1.95264      1.95264     -5.85792   2      6.47617
     -1.95264      1.95264     -5.85792   2      6.47617
      1.95264     -1.95264     -5.85792   2      6.47617
     -1.95264     -1.95264     -5.85792   2      6.47617
      3.90528      3.90528      3.90528   1      6.76414
     -3.90528      3.90528      3.90528   1      6.76414
      3.90528     -3.90528      3.90528   1      6.76414
     -3.90528     -3.90528      3.90528   1      6.76414
      3.90528      3.90528     -3.90528   1      6.76414
     -3.90528      3.90528     -3.90528   1      6.76414
      3.90528     -3.90528     -3.90528   1      6.76414
     -3.90528     -3.90528     -3.90528   1      6.76414
      5.85792      3.90528      1.95264   3      7.30611
     -5.85792      3.90528      1.95264   3      7.30611
      3.90528      5.85792      1.95264   3      7.30611
     -3.90528      5.85792      1.95264   3      7.30611
      5.85792     -3.90528      1.95264   3      7.30611
     -5.85792     -3.90528      1.95264   3      7.30611
      3.90528     -5.85792      1.95264   3      7.30611
     -3.90528     -5.85792      1.95264   3      7.30611
      5.85792      1.95264      3.90528   3      7.30611
     -5.85792      1.95264      3.90528   3      7.30611
      1.95264      5.85792      3.90528   3      7.30611
     -1.95264      5.85792      3.90528   3      7.30611
      5.85792     -1.95264      3.90528   3      7.30611
     -5.85792     -1.95264      3.90528   3      7.30611
      1.95264     -5.85792      3.90528   3      7.30611
     -1.95264     -5.85792      3.90528   3      7.30611
      3.90528      1.95264      5.85792   3      7.30611
     -3.90528      1.95264      5.85792   3      7.30611
      1.95264      3.90528      5.85792   3      7.30611
     -1.95264      3.90528      5.85792   3      7.30611
      3.90528     -1.95264      5.85792   3      7.30611
     -3.90528     -1.95264      5.85792   3      7.30611
      1.95264     -3.90528      5.85792   3      7.30611
     -1.95264     -3.90528      5.85792   3      7.30611
      5.85792      3.90528     -1.95264   3      7.30611
     -5.85792      3.90528     -1.95264   3      7.30611
      3.90528      5.85792     -1.95264   3      7.30611
     -3.90528      5.85792     -1.95264   3      7.30611
      5.85792     -3.90528     -1.95264   3      7.30611
     -5.85792     -3.90528     -1.95264   3      7.30611
      3.90528     -5.85792     -1.95264   3      7.30611
     -3.90528     -5.85792     -1.95264   3      7.30611
      5.85792      1.95264     -3.90528   3      7.30611
     -5.85792      1.95264     -3.90528   3      7.30611
      1.95264      5.85792     -3.90528   3      7.30611
     -1.95264      5.85792     -3.90528   3      7.30611
      5.85792     -1.95264     -3.90528   3      7.30611
     -5.85792     -1.95264     -3.90528   3      7.30611
      1.95264     -5.85792     -3.90528   3      7.30611
     -1.95264     -5.85792     -3.90528   3      7.30611
      3.90528      1.95264     -5.85792   3      7.30611
     -3.90528      1.95264     -5.85792   3      7.30611
      1.95264      3.90528     -5.85792   3      7.30611
     -1.95264      3.90528     -5.85792   3      7.30611
      3.90528     -1.95264     -5.85792   3      7.30611
     -3.90528     -1.95264     -5.85792   3      7.30611
      1.95264     -3.90528     -5.85792   3      7.30611
     -1.95264     -3.90528     -5.85792   3      7.30611
      7.81056      0.00000      0.00000   1      7.81056
     -7.81056      0.00000      0.00000   1      7.81056
      0.00000      7.81056      0.00000   1      7.81056
      0.00000     -7.81056      0.00000   1      7.81056
      0.00000      0.00000      7.81056   1      7.81056
      0.00000      0.00000     -7.81056   1      7.81056
      5.85792      5.85792      0.00000   3      8.28435
     -5.85792      5.85792      0.00000   3      8.28435
      5.85792     -5.85792      0.00000   3      8.28435
     -5.85792     -5.85792      0.00000   3      8.28435
      7.81056      1.95264      1.95264   3      8.28435
     -7.81056      1.95264      1.95264   3      8.28435
      1.95264      7.81056      1.95264   3      8.28435
     -1.95264      7.81056      1.95264   3      8.28435
      7.81056     -1.95264      1.95264   3      8.28435
     -7.81056     -1.95264      1.95264   3      8.28435
      1.95264     -7.81056      1.95264   3      8.28435
     -1.95264     -7.81056      1.95264   3      8.28435
      5.85792      0.00000      5.85792   3      8.28435
     -5.85792      0.00000      5.85792   3      8.28435
      0.00000      5.85792      5.85792   3      8.28435
      0.00000     -5.85792      5.85792   3      8.28435
      1.95264      1.95264      7.81056   3      8.28435
     -1.95264      1.95264      7.81056   3      8.28435
      1.95264     -1.95264      7.81056   3      8.28435
