# # Cu                                                           FEFF 10.0   
# # POT  SCF 100  4.0000   0, core-hole, AFOLP (folp(0)= 1.150)
# # Abs   Z=29 Rmt= 1.437 Rnm= 1.489 K  shell
# # Pot 1 Z=29 Rmt= 1.344 Rnm= 1.381
# # Gam_ch=1.729E+00 H-L exch Vi= 0.000E+00 Vr= 0.000E+00
# # Mu=-7.990E+00eV kf=1.994E+00 Vint=-1.742E+01eV Rs_int= 1.819
# # PATH  Rmax= 8.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
#  S02=1.000  Temp= 450.00  Debye_temp= 315.00  Global_sig2= 0.00000
#  Energy zero shift, vr, vi    0.00000E+00   0.00000E+00
#  Curved wave amplitude ratio filter   4.000%
#     file         sig2 tot  cw amp ratio   deg  nlegs   reff  inp sig2
#           1       0.01186    100.00     12.00     2   2.5323
#           2       0.01638     22.99      6.00     2   3.5812
#           3       0.01119     10.61     48.00     3   3.7984
#           4       0.01433      7.52     48.00     3   4.3229
#           5       0.01536     55.07     24.00     2   4.3860
#           6       0.01453     11.25     48.00     3   4.7253
#           7       0.01447     17.45     96.00     3   4.7253
#           8       0.01475     18.67     12.00     2   5.0645
#           9       0.01531      8.74     12.00     3   5.0646
#          10       0.01475     39.86     24.00     3   5.0645
#          11       0.01531      9.74     12.00     4   5.0646
#          12       0.02372      4.05     12.00     4   5.0646
#          14       0.01475     31.90     12.00     4   5.0645
#          16       0.01555     27.24     24.00     2   5.6623
#          17       0.01645      8.94     48.00     3   5.8879
#          18       0.01554      5.83     48.00     3   5.8879
#          19       0.01562      6.34     48.00     3   5.8879
#          20       0.01456      4.31     96.00     3   5.9914
#          21       0.01476      4.97     96.00     3   5.9914
#          22       0.01476      4.66     96.00     4   5.9914
#          23       0.01456      4.81     96.00     4   5.9914
#          25       0.01504      6.95      8.00     2   6.2028
#          26       0.01511      5.01     96.00     3   6.2903
#          27       0.01590      4.11     48.00     3   6.5605
#          29       0.01510     33.09     48.00     2   6.6998
#          30       0.01613     16.57     96.00     3   6.8090
#          31       0.01503      9.61     96.00     3   6.8090
#          32       0.01509      9.06     96.00     3   6.8090
#          34       0.02772      4.86     96.00     4   6.9183
#          35       0.01533      4.78     96.00     3   7.1483
#          41       0.01550      5.49     12.00     3   7.1623
#          43       0.01567      4.01     24.00     3   7.5968
#          44       0.01567      7.83     24.00     6   7.5968
#          47       0.01567      4.10     24.00     4   7.5968
#          48       0.01567      4.48     24.00     5   7.5968
#          49       0.01567      5.15     24.00     5   7.5968
#          50       0.01567      5.50     24.00     5   7.5968
#          51       0.01674      4.02     48.00     3   7.7820
#          52       0.01550      5.42     96.00     3   7.8957
#    39/  49 paths used
#  -----------------------------------------------------------------------
#       k          chi          mag           phase @#
     0.0000   -1.159383E-01  2.702278E-01 -2.698164E+00
     0.0500   -1.194138E-01  2.726708E-01 -2.688285E+00
     0.1000   -1.229126E-01  2.750836E-01 -2.678386E+00
     0.1500   -1.334466E-01  2.819679E-01 -2.648595E+00
     0.2000   -1.441243E-01  2.885878E-01 -2.618672E+00
     0.2500   -1.619133E-01  2.988495E-01 -2.569029E+00
     0.3000   -1.798044E-01  3.084071E-01 -2.519164E+00
     0.3500   -2.042320E-01  3.201438E-01 -2.449775E+00
     0.4000   -2.280654E-01  3.305869E-01 -2.380269E+00
     0.4500   -2.565240E-01  3.415875E-01 -2.292054E+00
     0.5000   -2.826381E-01  3.506256E-01 -2.204067E+00
     0.5500   -3.097662E-01  3.585807E-01 -2.098695E+00
     0.6000   -3.317746E-01  3.639086E-01 -1.994196E+00
     0.6500   -3.499194E-01  3.666647E-01 -1.874181E+00
     0.7000   -3.599686E-01  3.662427E-01 -1.756162E+00
     0.7500   -3.615391E-01  3.620764E-01 -1.625285E+00
     0.8000   -3.535340E-01  3.544616E-01 -1.498436E+00
     0.8500   -3.350555E-01  3.424544E-01 -1.362548E+00
     0.9000   -3.089612E-01  3.272981E-01 -1.234475E+00
     0.9500   -2.752397E-01  3.080834E-01 -1.104842E+00
     1.0000   -2.400308E-01  2.870326E-01 -9.904070E-01
     1.0500   -2.043612E-01  2.638219E-01 -8.861106E-01
     1.1000   -1.751155E-01  2.420012E-01 -8.090247E-01
     1.1500   -1.529260E-01  2.226575E-01 -7.571072E-01
     1.2000   -1.413185E-01  2.103983E-01 -7.364622E-01
     1.2500   -1.378677E-01  2.069438E-01 -7.291129E-01
     1.3000   -1.400463E-01  2.140648E-01 -7.131560E-01
     1.3500   -1.412920E-01  2.299756E-01 -6.615976E-01
     1.4000   -1.350672E-01  2.513292E-01 -5.673647E-01
     1.4500   -1.138240E-01  2.748601E-01 -4.269715E-01
     1.5000   -7.430456E-02  2.966364E-01 -2.531867E-01
     1.5500   -1.441856E-02  3.148146E-01 -4.581618E-02
     1.6000    5.870789E-02  3.262810E-01  1.809157E-01
     1.6500    1.387052E-01  3.312636E-01  4.320303E-01
     1.7000    2.083398E-01  3.259657E-01  6.933878E-01
     1.7500    2.588085E-01  3.133166E-01  9.720250E-01
     1.8000    2.765759E-01  2.903971E-01  1.261033E+00
     1.8500    2.598616E-01  2.598677E-01  1.563920E+00
     1.9000    2.122613E-01  2.222726E-01  1.872068E+00
     1.9500    1.448628E-01  1.786839E-01  2.196210E+00
     2.0000    7.631972E-02  1.319233E-01  2.524685E+00
     2.0500    2.015835E-02  8.160604E-02  2.891989E+00
     2.1000   -5.934157E-03  3.258854E-02  3.324708E+00
     2.1500    6.952356E-04  1.427782E-02  6.331898E+00
