# # Cu                                                           FEFF 10.0   
# # POT  SCF 100  4.0000   0, core-hole, AFOLP (folp(0)= 1.150)
# # Abs   Z=29 Rmt= 1.437 Rnm= 1.489 K  shell
# # Pot 1 Z=29 Rmt= 1.344 Rnm= 1.381
# # Gam_ch=1.729E+00 H-L exch Vi= 0.000E+00 Vr= 0.000E+00
# # Mu=-7.990E+00eV kf=1.994E+00 Vint=-1.742E+01eV Rs_int= 1.819
# # PATH  Rmax= 8.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
#  S02=1.000  Temp= 450.00  Debye_temp= 315.00  Global_sig2= 0.00000
#  Energy zero shift, vr, vi    0.00000E+00   0.00000E+00
#  Curved wave amplitude ratio filter   4.000%
#     file         sig2 tot  cw amp ratio   deg  nlegs   reff  inp sig2
#           1       0.01186    100.00     12.00     2   2.5323
#           2       0.01638     22.99      6.00     2   3.5812
#           3       0.01119     10.61     48.00     3   3.7984
#           4       0.01433      7.52     48.00     3   4.3229
#           5       0.01536     55.07     24.00     2   4.3860
#           6       0.01453     11.25     48.00     3   4.7253
#           7       0.01447     17.45     96.00     3   4.7253
#           8       0.01475     18.67     12.00     2   5.0645
#           9       0.01531      8.74     12.00     3   5.0646
#          10       0.01475     39.86     24.00     3   5.0645
#          11       0.01531      9.74     12.00     4   5.0646
#          12       0.02372      4.05     12.00     4   5.0646
#          14       0.01475     31.90     12.00     4   5.0645
#          16       0.01555     27.24     24.00     2   5.6623
#          17       0.01645      8.94     48.00     3   5.8879
#          18       0.01554      5.83     48.00     3   5.8879
#          19       0.01562      6.34     48.00     3   5.8879
#          20       0.01456      4.31     96.00     3   5.9914
#          21       0.01476      4.97     96.00     3   5.9914
#          22       0.01476      4.66     96.00     4   5.9914
#          23       0.01456      4.81     96.00     4   5.9914
#          25       0.01504      6.95      8.00     2   6.2028
#          26       0.01511      5.01     96.00     3   6.2903
#          27       0.01590      4.11     48.00     3   6.5605
#          29       0.01510     33.09     48.00     2   6.6998
#          30       0.01613     16.57     96.00     3   6.8090
#          31       0.01503      9.61     96.00     3   6.8090
#          32       0.01509      9.06     96.00     3   6.8090
#          34       0.02772      4.86     96.00     4   6.9183
#          35       0.01533      4.78     96.00     3   7.1483
#          41       0.01550      5.49     12.00     3   7.1623
#          43       0.01567      4.01     24.00     3   7.5968
#          44       0.01567      7.83     24.00     6   7.5968
#          47       0.01567      4.10     24.00     4   7.5968
#          48       0.01567      4.48     24.00     5   7.5968
#          49       0.01567      5.15     24.00     5   7.5968
#          50       0.01567      5.50     24.00     5   7.5968
#          51       0.01674      4.02     48.00     3   7.7820
#          52       0.01550      5.42     96.00     3   7.8957
#    39/  49 paths used
#  xsedge+50, used to normalize mu           2.4644E-04
#  -----------------------------------------------------------------------
#  omega    e    k    mu    mu0     chi     @#
    8988.525     -7.990   0.000  3.34712E-01  4.28416E-01 -1.15938E-01
    8988.535     -7.981   0.050  3.37730E-01  4.34360E-01 -1.19414E-01
    8988.564     -7.952   0.100  3.40722E-01  4.40304E-01 -1.22913E-01
    8988.611     -7.905   0.150  3.49454E-01  4.57952E-01 -1.33447E-01
    8988.678     -7.838   0.200  3.58008E-01  4.75600E-01 -1.44124E-01
    8988.764     -7.752   0.250  3.70546E-01  5.03397E-01 -1.61913E-01
    8988.868     -7.648   0.300  3.82836E-01  5.31195E-01 -1.79804E-01
    8988.992     -7.524   0.350  3.94649E-01  5.64419E-01 -2.04232E-01
    8989.135     -7.381   0.400  4.06659E-01  5.97644E-01 -2.28065E-01
    8989.297     -7.219   0.450  4.13293E-01  6.30008E-01 -2.56524E-01
    8989.478     -7.038   0.500  4.21503E-01  6.62373E-01 -2.82638E-01
    8989.678     -6.838   0.550  4.23666E-01  6.90219E-01 -3.09766E-01
    8989.897     -6.619   0.600  4.29828E-01  7.18066E-01 -3.31775E-01
    8990.135     -6.381   0.650  4.33945E-01  7.41021E-01 -3.49919E-01
    8990.392     -6.124   0.700  4.44919E-01  7.63976E-01 -3.59969E-01
    8990.669     -5.847   0.750  4.59273E-01  7.82950E-01 -3.61539E-01
    8990.964     -5.552   0.800  4.82257E-01  8.01923E-01 -3.53534E-01
    8991.278     -5.238   0.850  5.12001E-01  8.17855E-01 -3.35055E-01
    8991.612     -4.904   0.900  5.49082E-01  8.33786E-01 -3.08961E-01
    8991.964     -4.552   0.950  5.91430E-01  8.47282E-01 -2.75240E-01
    8992.335     -4.180   1.000  6.35717E-01  8.60779E-01 -2.40031E-01
    8992.726     -3.790   1.050  6.79151E-01  8.72235E-01 -2.04361E-01
    8993.136     -3.380   1.100  7.16981E-01  8.83692E-01 -1.75116E-01
    8993.564     -2.952   1.150  7.46783E-01  8.93306E-01 -1.52926E-01
    8994.012     -2.504   1.200  7.66654E-01  9.02921E-01 -1.41318E-01
    8994.479     -2.037   1.250  7.77223E-01  9.10843E-01 -1.37868E-01
    8994.964     -1.552   1.300  7.82343E-01  9.18765E-01 -1.40046E-01
    8995.469     -1.047   1.350  7.86964E-01  9.25118E-01 -1.41292E-01
    8995.993     -0.523   1.400  7.98907E-01  9.31471E-01 -1.35067E-01
    8996.536      0.020   1.450  8.24368E-01  9.36362E-01 -1.13824E-01
    8997.098      0.582   1.500  8.67960E-01  9.41252E-01 -7.43046E-02
    8997.679      1.163   1.550  9.30616E-01  9.44857E-01 -1.44186E-02
    8998.279      1.763   1.600  1.00652E+00  9.48461E-01  5.87079E-02
    8998.898      2.382   1.650  1.08811E+00  9.50898E-01  1.38705E-01
    8999.536      3.020   1.700  1.15950E+00  9.53335E-01  2.08340E-01
