# # FeCN6                                                        FEFF 10.0   
# # absorbing
# # POT  SCF 100  4.0000   0, core-hole, AFOLP (folp(0)= 1.150)
# # Abs   Z=26 Rmt= 1.319 Rnm= 1.388 K  shell
# # Pot 1 Z= 6 Rmt= 0.759 Rnm= 1.047
# # Pot 2 Z= 7 Rmt= 0.695 Rnm= 1.047
# # Gam_ch=1.309E+00 H-L exch Vi= 0.000E+00 Vr=-1.500E+01
# # Mu=-1.114E+01eV kf=2.681E+00 Vint=-1.891E+01eV Rs_int= 1.353
# # PATH  Rmax= 6.870,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
#  S02=1.000  Temp= 150.00  Debye_temp=1073.00  Global_sig2= 0.00000
#  Energy zero shift, vr, vi    0.00000E+00   0.00000E+00
#  Curved wave amplitude ratio filter   4.000%
#     file         sig2 tot  cw amp ratio   deg  nlegs   reff  inp sig2
#           1       0.00416    100.00      6.00     2   2.0282
#           2       0.00421     35.77      6.00     2   3.2370
#           3       0.00421    122.90     12.00     3   3.2370
#           4       0.00421    103.70      6.00     4   3.2370
#           5       0.00679     13.71     24.00     3   3.4624
#           6       0.00666     14.37      6.00     3   4.0564
#           7       0.00666     10.60      6.00     4   4.0564
#          10       0.00362     13.71      6.00     4   4.4458
#          11       0.01151     47.08     12.00     5   4.4458
#          12       0.01151     40.79      6.00     6   4.4458
#          13       0.00768     10.05     48.00     3   4.5426
#          14       0.00768     12.91     48.00     4   4.5426
#          15       0.00703      6.64     48.00     4   4.6712
#          16       0.00703      9.94     48.00     5   4.6712
#          17       0.01186     12.71     24.00     4   4.8965
#          19       0.00672     11.77     12.00     3   5.2652
#          20       0.00672     16.35     12.00     4   5.2652
#          21       0.00672      7.44     12.00     4   5.2652
#          22       0.00672     20.02     12.00     4   5.2652
#          23       0.00672     19.02     12.00     6   5.2652
#          25       0.00672     11.37     12.00     5   5.2652
#          26       0.00672     27.99     12.00     5   5.2652
#          27       0.00672     12.44     12.00     5   5.2652
#          29       0.01469      5.13     12.00     5   5.2652
#          32       0.01469      6.80     12.00     6   5.2652
#          35       0.00985      5.19     48.00     5   5.4906
#          36       0.01071      4.81     48.00     5   5.4906
#          39       0.00592      8.14      6.00     6   5.6547
#          40       0.01880     28.77     12.00     7   5.6547
#          41       0.01880     25.57      6.00     8   5.6547
#          43       0.00774      4.49     48.00     5   5.7514
#          46       0.00774      8.05     48.00     6   5.7514
#          50       0.01367      4.13     48.00     6   5.8800
#          52       0.01367      7.38     48.00     7   5.8800
#          54       0.00880      4.09     48.00     4   5.9767
#          55       0.01862     11.58     48.00     4   5.9767
#          56       0.00880      7.22     48.00     5   5.9767
#          57       0.00909      9.28     48.00     5   5.9767
#          58       0.01862     20.73     48.00     5   5.9767
#          59       0.01234      7.06     48.00     5   5.9767
#          63       0.00882      8.93     48.00     6   6.1053
#          64       0.01003      5.99     24.00     6   6.1053
#          65       0.01766     12.65     48.00     5   6.1053
#          67       0.01300     22.00     48.00     6   6.1053
#          68       0.01122      4.91     24.00     6   6.1053
#          71       0.01343      8.51     12.00     8   6.4740
#          72       0.00677      8.78      6.00     8   6.4740
#          73       0.00644      4.97     12.00     7   6.4740
#          74       0.00677     10.39     12.00     7   6.4740
#          75       0.01343     15.84     12.00     7   6.4740
#          76       0.01343      5.39     12.00     7   6.4740
#          77       0.00677     11.39     12.00     7   6.4740
#          78       0.00677     13.98      6.00     7   6.4740
#          79       0.00644      9.02     12.00     6   6.4740
#          80       0.00677      6.77     12.00     6   6.4740
#          81       0.00677     16.10     12.00     6   6.4740
#          82       0.00677      6.73     12.00     6   6.4740
#          83       0.00677      6.68     12.00     4   6.4740
#          84       0.00677      8.59     12.00     4   6.4740
#          85       0.01343     10.96     12.00     6   6.4740
#          86       0.00677     19.64     12.00     6   6.4740
#          87       0.00644      6.28     12.00     5   6.4740
#          88       0.00677      4.03     12.00     5   6.4740
#          89       0.00677      4.67      6.00     5   6.4740
#          90       0.00677     11.41     12.00     5   6.4740
#          91       0.00677      4.27     12.00     5   6.4740
#          92       0.00677     11.40     12.00     5   6.4740
#          93       0.00677      7.33      6.00     5   6.4740
#         101       0.00842      5.02     12.00     7   6.4740
#         116       0.02513      4.14     48.00     4   6.8315
#         117       0.02259      7.76     48.00     5   6.8315
#         118       0.00822      5.50      6.00     8   6.8635
#         119       0.02610     19.82     12.00     9   6.8635
#    73/  86 paths used
#  -----------------------------------------------------------------------
#       k          chi          mag           phase @#
     0.0000    4.661232E-01  4.676933E-01  1.488832E+00
     0.0500    4.655478E-01  4.669370E-01  1.493641E+00
     0.1000    4.649595E-01  4.661785E-01  1.498464E+00
     0.1500    4.631106E-01  4.638830E-01  1.513084E+00
     0.2000    4.611406E-01  4.615665E-01  1.527831E+00
     0.2500    4.575639E-01  4.576372E-01  1.552890E+00
     0.3000    4.536262E-01  4.536389E-01  1.578289E+00
     0.3500    4.474604E-01  4.478938E-01  1.614790E+00
     0.4000    4.405363E-01  4.419897E-01  1.651917E+00
     0.4500    4.304712E-01  4.341543E-01  1.701145E+00
     0.5000    4.191024E-01  4.260261E-01  1.751330E+00
     0.5500    4.034453E-01  4.157642E-01  1.814833E+00
     0.6000    3.858798E-01  4.050475E-01  1.879666E+00
     0.6500    3.628371E-01  3.920120E-01  1.959037E+00
     0.7000    3.374516E-01  3.783768E-01  2.040196E+00
     0.7500    3.056907E-01  3.623620E-01  2.137629E+00
     0.8000    2.716401E-01  3.456742E-01  2.237560E+00
     0.8500    2.309883E-01  3.266974E-01  2.356288E+00
     0.9000    1.889672E-01  3.071257E-01  2.478856E+00
     0.9500    1.414872E-01  2.858294E-01  2.623751E+00
     1.0000    9.469277E-02  2.642754E-01  2.775135E+00
     1.0500    4.476941E-02  2.419118E-01  2.955455E+00
     1.1000   -1.302052E-03  2.200795E-01  3.147509E+00
     1.1500   -4.707823E-02  1.991680E-01  3.380226E+00
     1.2000   -8.512267E-02  1.803938E-01  3.633005E+00
     1.2500   -1.182420E-01  1.658494E-01  3.935286E+00
     1.3000   -1.400002E-01  1.558779E-01  4.257115E+00
     1.3500   -1.529910E-01  1.537151E-01  4.615287E+00
     1.4000   -1.522738E-01  1.571674E-01  4.962585E+00
     1.4500   -1.401876E-01  1.686394E-01  5.301768E+00
     1.5000   -1.146858E-01  1.830454E-01  5.606075E+00
     1.5500   -7.904996E-02  2.014776E-01  5.879999E+00
     1.6000   -3.431338E-02  2.192099E-01  6.126007E+00
     1.6500    1.641483E-02  2.397452E-01  6.351707E+00
     1.7000    7.055505E-02  2.577233E-01  6.560488E+00
     1.7500    1.273408E-01  2.777644E-01  6.759434E+00
     1.8000    1.818408E-01  2.947001E-01  6.948157E+00
     1.8500    2.358154E-01  3.130408E-01  7.136259E+00
     1.9000    2.819726E-01  3.279653E-01  7.317992E+00
     1.9500    3.224518E-01  3.434891E-01  7.502182E+00
     2.0000    3.499790E-01  3.552109E-01  7.682136E+00
     2.0500    3.684332E-01  3.684972E-01  7.872622E+00
     2.1000    3.691117E-01  3.770730E-01  8.059836E+00
     2.1500    3.524627E-01  3.809972E-01  8.243464E+00
     2.2000    3.205138E-01  3.804745E-01  8.423046E+00
     2.2500    2.740764E-01  3.773968E-01  8.611958E+00
     2.3000    2.181591E-01  3.700620E-01  8.794313E+00
     2.3500    1.580942E-01  3.593185E-01  8.969198E+00
     2.4000    9.859221E-02  3.461365E-01  9.135942E+00
     2.4500    4.153836E-02  3.369392E-01  9.301182E+00
     2.5000   -1.173592E-02  3.267980E-01  9.460698E+00
     2.5500   -5.978310E-02  3.162410E-01  9.614965E+00
     2.6000   -1.019614E-01  3.056905E-01  9.764839E+00
     2.6500   -1.418804E-01  2.983420E-01  9.920382E+00
     2.7000   -1.758702E-01  2.909856E-01  1.007378E+01
     2.7500   -2.037303E-01  2.836926E-01  1.022590E+01
     2.8000   -2.253178E-01  2.764491E-01  1.037758E+01
     2.8500   -2.422082E-01  2.702049E-01  1.053633E+01
     2.9000   -2.520048E-01  2.638044E-01  1.069535E+01
     2.9500   -2.546116E-01  2.571449E-01  1.085509E+01
     3.0000   -2.500609E-01  2.501119E-01  1.101578E+01
     3.0500   -2.387599E-01  2.430546E-01  1.118384E+01
     3.1000   -2.206240E-01  2.354820E-01  1.135270E+01
     3.1500   -1.965326E-01  2.273363E-01  1.152221E+01
     3.2000   -1.676898E-01  2.185983E-01  1.169204E+01
     3.2500   -1.355655E-01  2.105081E-01  1.186667E+01
     3.3000   -1.012650E-01  2.019083E-01  1.204099E+01
     3.3500   -6.645362E-02  1.928672E-01  1.221460E+01
     3.4000   -3.272598E-02  1.834860E-01  1.238705E+01
     3.4500   -6.890060E-04  1.749449E-01  1.256243E+01
     3.5000    2.809989E-02  1.662309E-01  1.273623E+01
     3.5500    5.278622E-02  1.574714E-01  1.290820E+01
     3.6000    7.288447E-02  1.487967E-01  1.307826E+01
