# # FeCN6                                                        FEFF 10.0   
# # absorbing
# # POT  SCF 100  4.0000   0, core-hole, AFOLP (folp(0)= 1.150)
# # Abs   Z=26 Rmt= 1.319 Rnm= 1.388 K  shell
# # Pot 1 Z= 6 Rmt= 0.759 Rnm= 1.047
# # Pot 2 Z= 7 Rmt= 0.695 Rnm= 1.047
# # Gam_ch=1.309E+00 H-L exch Vi= 0.000E+00 Vr=-1.500E+01
# # Mu=-1.114E+01eV kf=2.681E+00 Vint=-1.891E+01eV Rs_int= 1.353
# # PATH  Rmax= 6.870,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
#  S02=1.000  Temp= 150.00  Debye_temp=1073.00  Global_sig2= 0.00000
#  Energy zero shift, vr, vi    0.00000E+00   0.00000E+00
#  Curved wave amplitude ratio filter   4.000%
#     file         sig2 tot  cw amp ratio   deg  nlegs   reff  inp sig2
#           1       0.00416    100.00      6.00     2   2.0282
#           2       0.00421     35.77      6.00     2   3.2370
#           3       0.00421    122.90     12.00     3   3.2370
#           4       0.00421    103.70      6.00     4   3.2370
#           5       0.00679     13.71     24.00     3   3.4624
#           6       0.00666     14.37      6.00     3   4.0564
#           7       0.00666     10.60      6.00     4   4.0564
#          10       0.00362     13.71      6.00     4   4.4458
#          11       0.01151     47.08     12.00     5   4.4458
#          12       0.01151     40.79      6.00     6   4.4458
#          13       0.00768     10.05     48.00     3   4.5426
#          14       0.00768     12.91     48.00     4   4.5426
#          15       0.00703      6.64     48.00     4   4.6712
#          16       0.00703      9.94     48.00     5   4.6712
#          17       0.01186     12.71     24.00     4   4.8965
#          19       0.00672     11.77     12.00     3   5.2652
#          20       0.00672     16.35     12.00     4   5.2652
#          21       0.00672      7.44     12.00     4   5.2652
#          22       0.00672     20.02     12.00     4   5.2652
#          23       0.00672     19.02     12.00     6   5.2652
#          25       0.00672     11.37     12.00     5   5.2652
#          26       0.00672     27.99     12.00     5   5.2652
#          27       0.00672     12.44     12.00     5   5.2652
#          29       0.01469      5.13     12.00     5   5.2652
#          32       0.01469      6.80     12.00     6   5.2652
#          35       0.00985      5.19     48.00     5   5.4906
#          36       0.01071      4.81     48.00     5   5.4906
#          39       0.00592      8.14      6.00     6   5.6547
#          40       0.01880     28.77     12.00     7   5.6547
#          41       0.01880     25.57      6.00     8   5.6547
#          43       0.00774      4.49     48.00     5   5.7514
#          46       0.00774      8.05     48.00     6   5.7514
#          50       0.01367      4.13     48.00     6   5.8800
#          52       0.01367      7.38     48.00     7   5.8800
#          54       0.00880      4.09     48.00     4   5.9767
#          55       0.01862     11.58     48.00     4   5.9767
#          56       0.00880      7.22     48.00     5   5.9767
#          57       0.00909      9.28     48.00     5   5.9767
#          58       0.01862     20.73     48.00     5   5.9767
#          59       0.01234      7.06     48.00     5   5.9767
#          63       0.00882      8.93     48.00     6   6.1053
#          64       0.01003      5.99     24.00     6   6.1053
#          65       0.01766     12.65     48.00     5   6.1053
#          67       0.01300     22.00     48.00     6   6.1053
#          68       0.01122      4.91     24.00     6   6.1053
#          71       0.01343      8.51     12.00     8   6.4740
#          72       0.00677      8.78      6.00     8   6.4740
#          73       0.00644      4.97     12.00     7   6.4740
#          74       0.00677     10.39     12.00     7   6.4740
#          75       0.01343     15.84     12.00     7   6.4740
#          76       0.01343      5.39     12.00     7   6.4740
#          77       0.00677     11.39     12.00     7   6.4740
#          78       0.00677     13.98      6.00     7   6.4740
#          79       0.00644      9.02     12.00     6   6.4740
#          80       0.00677      6.77     12.00     6   6.4740
#          81       0.00677     16.10     12.00     6   6.4740
#          82       0.00677      6.73     12.00     6   6.4740
#          83       0.00677      6.68     12.00     4   6.4740
#          84       0.00677      8.59     12.00     4   6.4740
#          85       0.01343     10.96     12.00     6   6.4740
#          86       0.00677     19.64     12.00     6   6.4740
#          87       0.00644      6.28     12.00     5   6.4740
#          88       0.00677      4.03     12.00     5   6.4740
#          89       0.00677      4.67      6.00     5   6.4740
#          90       0.00677     11.41     12.00     5   6.4740
#          91       0.00677      4.27     12.00     5   6.4740
#          92       0.00677     11.40     12.00     5   6.4740
#          93       0.00677      7.33      6.00     5   6.4740
#         101       0.00842      5.02     12.00     7   6.4740
#         116       0.02513      4.14     48.00     4   6.8315
#         117       0.02259      7.76     48.00     5   6.8315
#         118       0.00822      5.50      6.00     8   6.8635
#         119       0.02610     19.82     12.00     9   6.8635
#    73/  86 paths used
#  xsedge+50, used to normalize mu           3.2441E-04
#  -----------------------------------------------------------------------
#  omega    e    k    mu    mu0     chi     @#
    7130.670      3.864   0.000  9.07569E-01  4.68966E-01  4.66123E-01
    7130.680      3.874   0.050  9.15778E-01  4.77680E-01  4.65548E-01
    7130.708      3.902   0.100  9.23974E-01  4.86395E-01  4.64960E-01
    7130.756      3.950   0.150  9.47785E-01  5.11860E-01  4.63111E-01
    7130.823      4.017   0.200  9.71481E-01  5.37325E-01  4.61141E-01
    7130.908      4.102   0.250  1.00613E+00  5.75204E-01  4.57564E-01
    7131.013      4.207   0.300  1.04043E+00  6.13083E-01  4.53626E-01
    7131.137      4.331   0.350  1.07472E+00  6.53017E-01  4.47460E-01
    7131.280      4.474   0.400  1.10829E+00  6.92951E-01  4.40536E-01
    7131.442      4.636   0.450  1.13176E+00  7.25731E-01  4.30471E-01
    7131.623      4.817   0.500  1.15398E+00  7.58510E-01  4.19102E-01
    7131.823      5.017   0.550  1.16294E+00  7.82091E-01  4.03445E-01
    7132.042      5.236   0.600  1.17009E+00  8.05672E-01  3.85880E-01
    7132.280      5.474   0.650  1.16475E+00  8.21978E-01  3.62837E-01
    7132.537      5.731   0.700  1.15718E+00  8.38283E-01  3.37452E-01
    7132.813      6.007   0.750  1.13855E+00  8.49603E-01  3.05691E-01
    7133.109      6.303   0.800  1.11773E+00  8.60924E-01  2.71640E-01
    7133.423      6.617   0.850  1.08727E+00  8.68893E-01  2.30988E-01
    7133.756      6.950   0.900  1.05552E+00  8.76863E-01  1.88967E-01
    7134.109      7.303   0.950  1.01626E+00  8.82531E-01  1.41487E-01
    7134.480      7.674   1.000  9.77680E-01  8.88199E-01  9.46928E-02
    7134.871      8.065   1.050  9.34485E-01  8.92203E-01  4.47694E-02
    7135.280      8.474   1.100  8.94979E-01  8.96208E-01 -1.30205E-03
    7135.709      8.903   1.150  8.54536E-01  8.98930E-01 -4.70782E-02
    7136.157      9.351   1.200  8.21459E-01  9.01653E-01 -8.51227E-02
    7136.623      9.817   1.250  7.91962E-01  9.03156E-01 -1.18242E-01
    7137.109     10.303   1.300  7.73244E-01  9.04659E-01 -1.40000E-01
    7137.614     10.808   1.350  7.61697E-01  9.04892E-01 -1.52991E-01
    7138.138     11.332   1.400  7.63014E-01  9.05124E-01 -1.52274E-01
    7138.681     11.875   1.450  7.73504E-01  9.03857E-01 -1.40188E-01
    7139.243     12.437   1.500  7.96340E-01  9.02590E-01 -1.14686E-01
    7139.824     13.018   1.550  8.27474E-01  9.00447E-01 -7.90500E-02
    7140.424     13.618   1.600  8.66742E-01  8.98304E-01 -3.43134E-02
    7141.043     14.237   1.650  9.12150E-01  8.97082E-01  1.64148E-02
    7141.681     14.875   1.700  9.60491E-01  8.95861E-01  7.05551E-02
    7142.338     15.532   1.750  1.01276E+00  8.96112E-01  1.27341E-01
    7143.014     16.209   1.800  1.06293E+00  8.96363E-01  1.81841E-01
    7143.710     16.904   1.850  1.11435E+00  8.97933E-01  2.35815E-01
    7144.424     17.618   1.900  1.15878E+00  8.99504E-01  2.81973E-01
    7145.158     18.352   1.950  1.20001E+00  9.02459E-01  3.22452E-01
    7145.910     19.104   2.000  1.22952E+00  9.05413E-01  3.49979E-01
    7146.682     19.876   2.050  1.25344E+00  9.10329E-01  3.68433E-01
    7147.472     20.666   2.100  1.26091E+00  9.15244E-01  3.69112E-01
    7148.282     21.476   2.150  1.25207E+00  9.20160E-01  3.52463E-01
    7149.110     22.305   2.200  1.22857E+00  9.25075E-01  3.20514E-01
    7149.958     23.152   2.250  1.19245E+00  9.31470E-01  2.74076E-01
    7150.825     24.019   2.300  1.14676E+00  9.37865E-01  2.18159E-01
    7151.711     24.905   2.350  1.09648E+00  9.44260E-01  1.58094E-01
    7152.616     25.810   2.400  1.04611E+00  9.50654E-01  9.85922E-02
    7153.540     26.734   2.450  9.95037E-01  9.54694E-01  4.15384E-02
    7154.483     27.677   2.500  9.47299E-01  9.58733E-01 -1.17359E-02
    7155.445     28.639   2.550  9.04343E-01  9.62772E-01 -5.97831E-02
    7156.426     29.620   2.600  8.66847E-01  9.66811E-01 -1.01961E-01
    7157.426     30.620   2.650  8.29158E-01  9.68427E-01 -1.41880E-01
    7158.445     31.639   2.700  7.97202E-01  9.70042E-01 -1.75870E-01
    7159.483     32.677   2.750  7.71197E-01  9.71658E-01 -2.03730E-01
    7160.540     33.735   2.800  7.51306E-01  9.73274E-01 -2.25318E-01
    7161.617     34.811   2.850  7.35353E-01  9.74129E-01 -2.42208E-01
    7162.712     35.906   2.900  7.26374E-01  9.74985E-01 -2.52005E-01
