# # Cu                                                           FEFF 9.05   
# # POT  SCF  30  4.0000   0, core-hole, AFOLP (folp(0)= 1.150)
# # Abs   Z=29 Rmt= 1.437 Rnm= 1.489 K  shell
# # Pot 1 Z=29 Rmt= 1.344 Rnm= 1.381
# # Gam_ch=1.729E+00 H-L exch
# # Mu=-7.991E+00 kf=1.994E+00 Vint=-1.742E+01 Rs_int= 1.819
# # PATH  Rmax= 8.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
#  S02=1.000  Temp= 450.00  Debye_temp= 315.00  Global_sig2= 0.00000
#  Curved wave amplitude ratio filter   4.000%
#     file         sig2 tot  cw amp ratio   deg  nlegs   reff  inp sig2
#           1       0.01248    100.00     12.00     2   2.5323
#           2       0.01913     22.99      6.00     2   3.5812
#           3       0.01184     10.61     48.00     3   3.7984
#           4       0.01618      7.52     48.00     3   4.3229
#           5       0.01776     55.07     24.00     2   4.3860
#           6       0.01578     11.25     48.00     3   4.7253
#           7       0.01652     17.45     96.00     3   4.7253
#           8       0.02058     18.67     12.00     2   5.0645
#           9       0.01748      8.74     12.00     3   5.0646
#          10       0.02058     39.86     24.00     3   5.0645
#          11       0.01748      9.74     12.00     4   5.0646
#          12       0.04992      4.05     12.00     4   5.0646
#          14       0.02058     31.90     12.00     4   5.0645
#          16       0.02668     27.24     24.00     2   5.6623
#          17       0.02092      8.94     48.00     3   5.8879
#          18       0.02600      5.83     48.00     3   5.8879
#          19       0.02548      6.34     48.00     3   5.8879
#          20       0.01912      4.31     96.00     3   5.9914
#          21       0.01855      4.97     96.00     3   5.9914
#          22       0.01855      4.66     96.00     4   5.9914
#          23       0.01912      4.81     96.00     4   5.9914
#          25       0.02427      6.95      8.00     2   6.2028
#          26       0.02421      5.01     96.00     3   6.2903
#    23/  24 paths used
#  xsedge+50, used to normalize mu           2.4644E-04
#  -----------------------------------------------------------------------
#  omega    e    k    mu    mu0     chi     @#
    8988.535     -7.982   0.050  3.63360E-01  4.34419E-01 -8.78134E-02
    8988.564     -7.953   0.100  3.68390E-01  4.40304E-01 -8.87632E-02
    8988.611     -7.905   0.150  3.83315E-01  4.57941E-01 -9.17867E-02
    8988.678     -7.839   0.200  3.97985E-01  4.75579E-01 -9.51029E-02
    8988.764     -7.753   0.250  4.20363E-01  5.03387E-01 -1.01185E-01
    8988.868     -7.648   0.300  4.42109E-01  5.31194E-01 -1.07968E-01
    8988.992     -7.524   0.350  4.66055E-01  5.64418E-01 -1.18331E-01
    8989.135     -7.382   0.400  4.89009E-01  5.97643E-01 -1.29726E-01
    8989.297     -7.220   0.450  5.07268E-01  6.30007E-01 -1.45290E-01
    8989.478     -7.039   0.500  5.24412E-01  6.62372E-01 -1.61891E-01
    8989.678     -6.839   0.550  5.33079E-01  6.90218E-01 -1.82619E-01
    8989.897     -6.620   0.600  5.41004E-01  7.18064E-01 -2.03805E-01
    8990.135     -6.381   0.650  5.40863E-01  7.41020E-01 -2.28084E-01
    8990.392     -6.124   0.700  5.41090E-01  7.63976E-01 -2.51467E-01
    8990.669     -5.848   0.750  5.36140E-01  7.82950E-01 -2.75682E-01
    8990.964     -5.553   0.800  5.33491E-01  8.01924E-01 -2.96875E-01
    8991.278     -5.238   0.850  5.29864E-01  8.17855E-01 -3.15482E-01
    8991.612     -4.905   0.900  5.31050E-01  8.33787E-01 -3.28517E-01
    8991.964     -4.553   0.950  5.35663E-01  8.47294E-01 -3.35240E-01
    8992.335     -4.181   1.000  5.47407E-01  8.60802E-01 -3.34241E-01
    8992.726     -3.791   1.050  5.66279E-01  8.72250E-01 -3.23834E-01
    8993.136     -3.381   1.100  5.93376E-01  8.83697E-01 -3.04947E-01
    8993.564     -2.953   1.150  6.29129E-01  8.93322E-01 -2.75734E-01
    8994.012     -2.505   1.200  6.72065E-01  9.02947E-01 -2.39441E-01
    8994.479     -2.038   1.250  7.22176E-01  9.10869E-01 -1.94693E-01
    8994.964     -1.552   1.300  7.76210E-01  9.18791E-01 -1.46371E-01
    8995.469     -1.048   1.350  8.33398E-01  9.25134E-01 -9.38202E-02
    8995.993     -0.524   1.400  8.89930E-01  9.31477E-01 -4.23316E-02
    8996.536      0.019   1.450  9.44527E-01  9.36378E-01  8.28211E-03
    8997.098      0.581   1.500  9.94040E-01  9.41279E-01  5.34894E-02
    8997.679      1.162   1.550  1.03714E+00  9.44874E-01  9.34119E-02
    8998.279      1.762   1.600  1.07199E+00  9.48468E-01  1.24895E-01
    8998.898      2.381   1.650  1.09816E+00  9.50916E-01  1.48841E-01
    8999.536      3.020   1.700  1.11405E+00  9.53363E-01  1.62383E-01
    9000.194      3.677   1.750  1.12106E+00  9.54830E-01  1.68076E-01
    9000.870      4.353   1.800  1.11925E+00  9.56296E-01  1.64860E-01
    9001.565      5.048   1.850  1.11003E+00  9.56935E-01  1.55082E-01
    9002.280      5.763   1.900  1.09574E+00  9.57575E-01  1.40135E-01
    9003.013      6.496   1.950  1.07796E+00  9.57472E-01  1.22432E-01
    9003.765      7.249   2.000  1.06048E+00  9.57370E-01  1.04956E-01
    9004.537      8.020   2.050  1.04412E+00  9.56590E-01  8.93089E-02
    9005.328      8.811   2.100  1.03273E+00  9.55810E-01  7.86817E-02
    9006.137      9.620   2.150  1.02682E+00  9.55030E-01  7.36036E-02
    9006.966     10.449   2.200  1.02547E+00  9.54250E-01  7.32059E-02
    9007.814     11.297   2.250  1.03134E+00  9.55942E-01  7.76970E-02
    9008.680     12.164   2.300  1.03639E+00  9.57634E-01  8.13733E-02
    9009.566     13.049   2.350  1.03685E+00  9.59326E-01  8.03169E-02
    9010.471     13.954   2.400  1.03040E+00  9.61018E-01  7.20810E-02
    9011.395     14.878   2.450  1.01992E+00  9.64316E-01  5.77910E-02
    9012.338     15.821   2.500  1.00264E+00  9.67613E-01  3.64161E-02
    9013.300     16.783   2.550  9.81357E-01  9.70911E-01  1.08659E-02
    9014.281     17.764   2.600  9.60298E-01  9.74209E-01 -1.44783E-02
    9015.281     18.764   2.650  9.41276E-01  9.75012E-01 -3.51041E-02
    9016.300     19.784   2.700  9.25882E-01  9.75816E-01 -5.19480E-02
