# Orientation sensitive EELS calculation - beam energy =   300.keV
# Sample to beam orientation :    0.000    1.000    0.000
# Collection and convergence semiangle:      2.400      0.000   ; # points:     5 x 3
# Detector position:     0.0000     0.0000
# Units are a_0^2 / eV.  Multiply by 28.00 10^-18  to get cm^-2 / eV.  Or by 28 to get Mbarn / eV.
# Relativistic and cross-terms.
# # POT  SCF 100  4.0000   0, screened core-hole, AFOLP (folp(0)= 1.150)                            
# # Gam_ch=1.729E+00 H-L exch Vi= 0.000E+00 Vr= 0.000E+00                                           
# FMS rfms= 7.0000                                                                                  
#  S02=1.000  Temp=   0.00  Debye_temp=   0.00  Global_sig2= 0.00000                                
#  Energy zero shift, vr, vi    0.00000E+00   0.00000E+00                                           
#  Energy       total         atomic-bg     fine-struct   xx            xy            xz            yx            yy            yz            zx            zy            zz
   8979.41      0.123021E-12  0.138421E-12 -0.154000E-13  0.253207E-14  0.166012E-37  0.497278E-38 -0.102010E-36  0.117957E-12  0.135182E-36  0.388742E-38  0.301220E-37  0.253207E-14
   8980.98      0.146291E-12  0.166308E-12 -0.200164E-13  0.301002E-14  0.374584E-37  0.166287E-38 -0.156369E-36  0.140271E-12  0.176324E-36  0.502442E-38  0.587747E-37  0.301002E-14
   8982.40      0.176688E-12  0.203180E-12 -0.264919E-13  0.363432E-14  0.859475E-37  0.359746E-38 -0.244380E-36  0.169419E-12  0.229221E-36  0.533567E-38  0.969783E-37  0.363432E-14
   8983.67      0.217648E-12  0.253300E-12 -0.356513E-13  0.447560E-14  0.708575E-37  0.743621E-38 -0.374295E-36  0.208697E-12  0.258609E-36  0.297980E-38  0.120488E-36  0.447560E-14
   8984.79      0.275015E-12  0.323692E-12 -0.486761E-13  0.565389E-14  0.153608E-36  0.875573E-38 -0.461152E-36  0.263708E-12  0.387913E-36  0.189310E-37  0.191018E-36  0.565389E-14
   8985.76      0.359104E-12  0.426320E-12 -0.672165E-13  0.738106E-14  0.171491E-36  0.362748E-38 -0.608282E-36  0.344342E-12  0.670032E-36  0.202832E-37  0.223344E-36  0.738106E-14
   8986.58      0.488216E-12  0.581579E-12 -0.933632E-13  0.100331E-13  0.319042E-36  0.696114E-38 -0.146292E-35  0.468150E-12  0.987415E-36  0.240458E-37  0.340893E-36  0.100331E-13
   8987.25      0.691224E-12  0.820442E-12 -0.129218E-12  0.142029E-13  0.841948E-36  0.238957E-38 -0.134969E-35  0.662818E-12  0.185728E-35  0.165027E-37  0.376158E-36  0.142029E-13
   8987.77      0.991347E-12  0.116633E-11 -0.174981E-12  0.203673E-13  0.112592E-35 -0.133977E-37 -0.329419E-35  0.950612E-12  0.244503E-35  0.486806E-37  0.476075E-36  0.203673E-13
   8988.01      0.120045E-11  0.140524E-11 -0.204798E-12  0.246620E-13  0.128055E-35 -0.314518E-37 -0.570637E-35  0.115112E-11  0.371456E-35  0.589566E-37  0.517218E-36  0.246620E-13
   8988.45      0.169050E-11  0.196992E-11 -0.279420E-12  0.347263E-13  0.153295E-35  0.144968E-36 -0.725746E-35  0.162104E-11  0.583045E-35  0.144764E-37 -0.225695E-35  0.347263E-13
   8988.88      0.215054E-11  0.255077E-11 -0.400225E-12  0.441725E-13  0.294175E-35  0.275054E-36 -0.670221E-35  0.206220E-11  0.441986E-35  0.356612E-36  0.291523E-35  0.441725E-13
