# # Cu_crystal                                                   FEFF 9.05   
# # POT  SCF  30  5.0000   0, core-hole, AFOLP (folp(0)= 1.150)
# # Abs   Z=29 Rmt= 1.449 Rnm= 1.502 K  shell
# # Pot 1 Z=29 Rmt= 1.356 Rnm= 1.393
# # Gam_ch=1.729E+00 H-L exch
# # Mu=-8.092E+00 kf=1.979E+00 Vint=-1.699E+01 Rs_int= 1.833
# # PATH  Rmax= 5.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
#  S02=1.000  Temp= 190.00  Debye_temp= 315.00  Global_sig2= 0.00000
#  Curved wave amplitude ratio filter   4.000%
#     file         sig2 tot  cw amp ratio   deg  nlegs   reff  inp sig2
#           1       0.00610    100.00     12.00     2   2.5527
#           2       0.00748     22.75      6.00     2   3.6100
#           3       0.00687     10.29     48.00     3   3.8290
#           4       0.00757      7.06     48.00     3   4.3577
#           5       0.00767     54.81     24.00     2   4.4213
#           6       0.00772     10.83     48.00     3   4.7633
#           7       0.00772     16.53     96.00     3   4.7633
#     7/   7 paths used
#  xsedge+50, used to normalize mu           2.4748E-04
#  -----------------------------------------------------------------------
#  omega    e    k    mu    mu0     chi     @#
    8988.447     -8.092   0.000  3.26442E-01  4.31261E-01 -1.30313E-01
    8988.456     -8.083   0.050  3.31217E-01  4.37196E-01 -1.31593E-01
    8988.485     -8.054   0.100  3.35964E-01  4.43131E-01 -1.32906E-01
    8988.532     -8.006   0.150  3.49967E-01  4.60902E-01 -1.37085E-01
    8988.599     -7.940   0.200  3.63726E-01  4.78673E-01 -1.41533E-01
    8988.685     -7.854   0.250  3.84501E-01  5.06685E-01 -1.49576E-01
    8988.789     -7.749   0.300  4.04692E-01  5.34696E-01 -1.58239E-01
    8988.913     -7.625   0.350  4.26365E-01  5.68154E-01 -1.71289E-01
    8989.056     -7.483   0.400  4.47169E-01  6.01611E-01 -1.85188E-01
    8989.218     -7.321   0.450  4.62695E-01  6.34180E-01 -2.03806E-01
    8989.399     -7.140   0.500  4.77388E-01  6.66748E-01 -2.23079E-01
    8989.599     -6.940   0.550  4.83504E-01  6.94714E-01 -2.46428E-01
    8989.818     -6.721   0.600  4.89443E-01  7.22681E-01 -2.69536E-01
    8990.056     -6.482   0.650  4.87990E-01  7.45620E-01 -2.94771E-01
    8990.313     -6.225   0.700  4.87834E-01  7.68559E-01 -3.18042E-01
    8990.590     -5.949   0.750  4.84147E-01  7.87398E-01 -3.40222E-01
    8990.885     -5.654   0.800  4.83978E-01  8.06237E-01 -3.58065E-01
    8991.199     -5.339   0.850  4.85075E-01  8.21878E-01 -3.70812E-01
    8991.533     -5.006   0.900  4.92179E-01  8.37518E-01 -3.76773E-01
    8991.885     -4.654   0.950  5.04906E-01  8.50604E-01 -3.74065E-01
    8992.257     -4.282   1.000  5.25494E-01  8.63690E-01 -3.62964E-01
    8992.647     -3.892   1.050  5.54605E-01  8.74596E-01 -3.41000E-01
    8993.057     -3.482   1.100  5.91811E-01  8.85501E-01 -3.10779E-01
    8993.485     -3.053   1.150  6.37747E-01  8.94480E-01 -2.70100E-01
    8993.933     -2.606   1.200  6.89747E-01  9.03459E-01 -2.23546E-01
    8994.400     -2.139   1.250  7.47659E-01  9.10688E-01 -1.69767E-01
    8994.885     -1.653   1.300  8.07506E-01  9.17918E-01 -1.14463E-01
    8995.390     -1.148   1.350  8.68197E-01  9.23544E-01 -5.71944E-02
    8995.914     -0.625   1.400  9.25686E-01  9.29169E-01 -3.58798E-03
    8996.457     -0.082   1.450  9.78391E-01  9.33376E-01  4.62792E-02
    8997.019      0.480   1.500  1.02340E+00  9.37584E-01  8.80573E-02
    8997.600      1.061   1.550  1.05943E+00  9.40547E-01  1.21874E-01
    8998.200      1.661   1.600  1.08552E+00  9.43510E-01  1.45453E-01
    8998.819      2.281   1.650  1.10130E+00  9.45401E-01  1.59676E-01
    8999.457      2.919   1.700  1.10785E+00  9.47293E-01  1.64457E-01
    9000.115      3.576   1.750  1.10754E+00  9.48309E-01  1.63228E-01
    9000.791      4.252   1.800  1.09844E+00  9.49324E-01  1.52973E-01
    9001.486      4.948   1.850  1.08678E+00  9.49634E-01  1.40880E-01
    9002.201      5.662   1.900  1.07394E+00  9.49944E-01  1.27536E-01
    9002.934      6.395   1.950  1.06132E+00  9.49631E-01  1.15067E-01
    9003.686      7.148   2.000  1.05164E+00  9.49317E-01  1.05591E-01
    9004.458      7.919   2.050  1.04453E+00  9.48477E-01  9.93524E-02
    9005.249      8.710   2.100  1.04158E+00  9.47637E-01  9.74008E-02
    9006.058      9.520   2.150  1.04174E+00  9.46797E-01  9.86701E-02
    9006.887     10.348   2.200  1.04313E+00  9.45957E-01  1.01231E-01
    9007.735     11.196   2.250  1.04824E+00  9.48651E-01  1.03899E-01
    9008.601     12.063   2.300  1.04886E+00  9.51346E-01  1.01884E-01
    9009.487     12.948   2.350  1.04273E+00  9.54040E-01  9.28077E-02
    9010.392     13.853   2.400  1.02923E+00  9.56734E-01  7.59696E-02
    9011.316     14.777   2.450  1.01372E+00  9.60147E-01  5.61237E-02
    9012.259     15.720   2.500  9.93450E-01  9.63559E-01  3.13025E-02
    9013.221     16.682   2.550  9.70533E-01  9.66971E-01  3.72838E-03
    9014.202     17.663   2.600  9.48100E-01  9.70384E-01 -2.33195E-02
    9015.202     18.663   2.650  9.26670E-01  9.71343E-01 -4.67097E-02
    9016.221     19.683   2.700  9.09223E-01  9.72302E-01 -6.58977E-02
    9017.260     20.721   2.750  8.97731E-01  9.73261E-01 -7.88371E-02
    9018.317     21.778   2.800  8.93534E-01  9.74220E-01 -8.41467E-02
    9019.393     22.854   2.850  8.93836E-01  9.75237E-01 -8.46775E-02
    9020.489     23.950   2.900  9.01999E-01  9.76254E-01 -7.70491E-02
    9021.603     25.064   2.950  9.16859E-01  9.77271E-01 -6.25269E-02
    9022.736     26.198   3.000  9.36387E-01  9.78288E-01 -4.32584E-02
    9023.889     27.350   3.050  9.58702E-01  9.79495E-01 -2.14091E-02
    9025.061     28.522   3.100  9.82053E-01  9.80701E-01  1.38773E-03
    9026.251     29.712   3.150  1.00329E+00  9.81908E-01  2.18955E-02
    9027.461     30.922   3.200  1.01971E+00  9.83115E-01  3.73807E-02
    9028.690     32.151   3.250  1.03395E+00  9.84494E-01  5.03885E-02
    9029.937     33.399   3.300  1.04145E+00  9.85872E-01  5.64674E-02
    9031.204     34.665   3.350  1.04132E+00  9.87251E-01  5.47933E-02
    9032.490     35.951   3.400  1.03393E+00  9.88630E-01  4.57814E-02
    9033.795     37.256   3.450  1.02315E+00  9.89836E-01  3.35895E-02
    9035.119     38.580   3.500  1.00779E+00  9.91042E-01  1.68442E-02
    9036.462     39.923   3.550  9.90162E-01  9.92247E-01 -2.09252E-03
    9037.824     41.285   3.600  9.72689E-01  9.93453E-01 -2.07835E-02
    9039.205     42.666   3.650  9.57819E-01  9.94696E-01 -3.68335E-02
    9040.605     44.067   3.700  9.46409E-01  9.95938E-01 -4.93691E-02
    9042.024     45.486   3.750  9.39710E-01  9.97181E-01 -5.71664E-02
    9043.463     46.924   3.800  9.38055E-01  9.98423E-01 -5.99243E-02
    9044.920     48.381   3.850  9.40573E-01  9.99404E-01 -5.83162E-02
    9046.396     49.858   3.900  9.46941E-01  1.00039E+00 -5.29026E-02
