# # YBCO:                                                        FEFF 9.05   
# # POT  Non-SCF, core-hole, AFOLP (folp(0)= 1.150)
# # Abs   Z=29 Rmt= 0.932 Rnm= 1.111 K  shell
# # Pot 1 Z= 8 Rmt= 0.850 Rnm= 0.951
# # Pot 2 Z=39 Rmt= 1.308 Rnm= 1.376
# # Pot 3 Z=29 Rmt= 1.301 Rnm= 1.309
# # Pot 4 Z=56 Rmt= 1.330 Rnm= 1.486
# # Gam_ch=1.729E+00 H-L exch
# # Mu=-9.329E+00 kf=2.499E+00 Vint=-3.312E+01 Rs_int= 1.451
# # PATH  Rmax= 4.500,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
#  S02=1.000                                        Global_sig2= 0.00000
#  Curved wave amplitude ratio filter   4.000%
#     file         sig2 tot  cw amp ratio   deg  nlegs   reff  inp sig2
#           1       0.00000    100.00      2.00     2   1.8596
#           2       0.00000     90.91      2.00     2   1.9406
#           3       0.00000     33.98      8.00     3   3.2441
#           4       0.00000     56.88      8.00     2   3.4612
#           5       0.00000     25.13      2.00     3   3.7193
#           6       0.00000     21.50      2.00     4   3.7193
#           7       0.00000     13.27      2.00     4   3.7193
#           8       0.00000     10.57      8.00     4   3.8003
#           9       0.00000      9.99      2.00     2   3.8120
#          10       0.00000      9.54      2.00     2   3.8813
#          11       0.00000     21.13      2.00     3   3.8813
#          12       0.00000     29.71      4.00     3   3.8813
#          13       0.00000     17.41      2.00     4   3.8813
#          14       0.00000      9.77      2.00     4   3.8813
#          15       0.00000     28.21      2.00     4   3.8813
#          16       0.00000     21.43     16.00     3   4.0277
#          17       0.00000      8.14      2.00     2   4.1273
#          18       0.00000     24.89      4.00     3   4.1273
#          19       0.00000     22.85      2.00     4   4.1273
#          20       0.00000     15.56     16.00     3   4.1340
#          21       0.00000     31.49      4.00     2   4.2414
#          22       0.00000     30.83      4.00     2   4.2775
#          23       0.00000     30.36      4.00     2   4.3038
#          24       0.00000     38.02      8.00     3   4.4661
#    24/  24 paths used
#  xsedge+50, used to normalize mu           2.4454E-04
#  -----------------------------------------------------------------------
#  omega    e    k    mu    mu0     chi     @#
    9003.935     -9.329   0.000  1.02334E+00  5.54997E-01  4.19592E-01
    9003.945     -9.320   0.050  1.03428E+00  5.62807E-01  4.22297E-01
    9003.973     -9.291   0.100  1.04521E+00  5.70618E-01  4.24987E-01
    9004.021     -9.244   0.150  1.07718E+00  5.93660E-01  4.32667E-01
    9004.088     -9.177   0.200  1.10900E+00  6.16702E-01  4.40200E-01
    9004.173     -9.091   0.250  1.15795E+00  6.52702E-01  4.51236E-01
    9004.278     -8.986   0.300  1.20642E+00  6.88702E-01  4.61828E-01
    9004.402     -8.863   0.350  1.26162E+00  7.30880E-01  4.72691E-01
    9004.545     -8.720   0.400  1.31562E+00  7.73059E-01  4.82460E-01
    9004.707     -8.558   0.450  1.36092E+00  8.12702E-01  4.86552E-01
    9004.888     -8.377   0.500  1.40326E+00  8.52345E-01  4.88009E-01
    9005.088     -8.177   0.550  1.42190E+00  8.84526E-01  4.74954E-01
    9005.307     -7.958   0.600  1.43455E+00  9.16708E-01  4.56674E-01
    9005.545     -7.720   0.650  1.41288E+00  9.41234E-01  4.14935E-01
    9005.802     -7.462   0.700  1.38340E+00  9.65761E-01  3.66538E-01
    9006.078     -7.186   0.750  1.32065E+00  9.84291E-01  2.94460E-01
    9006.374     -6.891   0.800  1.25437E+00  1.00282E+00  2.19659E-01
    9006.688     -6.577   0.850  1.17049E+00  1.01706E+00  1.33641E-01
    9007.021     -6.243   0.900  1.09267E+00  1.03130E+00  5.33159E-02
    9007.374     -5.891   0.950  1.01390E+00  1.04250E+00 -2.47866E-02
    9007.745     -5.519   1.000  9.48330E-01  1.05370E+00 -9.10982E-02
    9008.136     -5.129   1.050  8.85101E-01  1.06266E+00 -1.53168E-01
    9008.545     -4.719   1.100  8.35713E-01  1.07163E+00 -2.03043E-01
    9008.974     -4.291   1.150  7.85916E-01  1.07891E+00 -2.51652E-01
    9009.422     -3.843   1.200  7.43216E-01  1.08618E+00 -2.93981E-01
    9009.888     -3.376   1.250  6.99501E-01  1.09207E+00 -3.35934E-01
    9010.374     -2.890   1.300  6.61974E-01  1.09795E+00 -3.72460E-01
    9010.879     -2.386   1.350  6.24628E-01  1.10265E+00 -4.07861E-01
    9011.403     -1.862   1.400  5.95340E-01  1.10736E+00 -4.36305E-01
    9011.946     -1.319   1.450  5.70197E-01  1.11100E+00 -4.60476E-01
    9012.508     -0.757   1.500  5.55956E-01  1.11465E+00 -4.75332E-01
    9013.089     -0.176   1.550  5.49804E-01  1.11731E+00 -4.82711E-01
    9013.689      0.424   1.600  5.56505E-01  1.11998E+00 -4.79156E-01
    9014.308      1.043   1.650  5.73639E-01  1.12172E+00 -4.66202E-01
    9014.946      1.681   1.700  6.03596E-01  1.12346E+00 -4.42328E-01
    9015.603      2.339   1.750  6.43973E-01  1.12432E+00 -4.09074E-01
    9016.280      3.015   1.800  6.94574E-01  1.12519E+00 -3.67045E-01
    9016.975      3.710   1.850  7.52914E-01  1.12522E+00 -3.17814E-01
    9017.689      4.425   1.900  8.16721E-01  1.12525E+00 -2.63761E-01
    9018.423      5.158   1.950  8.83632E-01  1.12442E+00 -2.06280E-01
    9019.175      5.911   2.000  9.50072E-01  1.12360E+00 -1.48964E-01
    9019.947      6.682   2.050  1.01504E+00  1.12180E+00 -9.19145E-02
    9020.737      7.473   2.100  1.07389E+00  1.11999E+00 -3.98054E-02
    9021.547      8.282   2.150  1.12439E+00  1.11819E+00  5.36987E-03
    9022.376      9.111   2.200  1.16509E+00  1.11639E+00  4.23021E-02
    9023.223      9.959   2.250  1.19783E+00  1.11333E+00  7.36780E-02
    9024.090     10.825   2.300  1.21987E+00  1.11027E+00  9.59430E-02
    9024.976     11.711   2.350  1.23220E+00  1.10721E+00  1.09850E-01
    9025.881     12.616   2.400  1.23653E+00  1.10415E+00  1.16808E-01
    9026.805     13.540   2.450  1.23666E+00  1.10010E+00  1.21070E-01
    9027.748     14.483   2.500  1.23269E+00  1.09604E+00  1.21723E-01
    9028.710     15.445   2.550  1.22725E+00  1.09199E+00  1.21059E-01
    9029.691     16.426   2.600  1.22267E+00  1.08793E+00  1.21173E-01
    9030.691     17.426   2.650  1.21982E+00  1.08328E+00  1.23476E-01
    9031.710     18.445   2.700  1.22165E+00  1.07862E+00  1.30057E-01
    9032.748     19.484   2.750  1.22842E+00  1.07397E+00  1.41227E-01
    9033.806     20.541   2.800  1.23922E+00  1.06931E+00  1.56223E-01
    9034.882     21.617   2.850  1.25740E+00  1.06673E+00  1.76327E-01
    9035.977     22.713   2.900  1.27242E+00  1.06414E+00  1.93722E-01
    9037.092     23.827   2.950  1.28165E+00  1.06155E+00  2.05896E-01
    9038.225     24.960   3.000  1.28322E+00  1.05897E+00  2.11012E-01
    9039.378     26.113   3.050  1.27459E+00  1.05540E+00  2.07452E-01
