1: pass  1.360588E+01 1.360588E+01 0
2: pass  2.497982E+01 2.497981E+01 4.00323e-05
3: pass  6.729444E+01 6.742926E+01 0.199943
4: pass  1.287986E+02 1.288051E+02 0.00504638
5: pass  2.094554E+02 2.094608E+02 0.00257805
6: pass  3.096044E+02 3.096054E+02 0.000322992
7: pass  4.266771E+02 4.266772E+02 2.34369e-05
8: pass  5.632585E+02 5.632587E+02 3.55077e-05
9: pass  7.186889E+02 7.186892E+02 4.17427e-05
10: pass  8.930088E+02 8.930092E+02 4.47924e-05
11: pass  1.103275E+03 1.103285E+03 0.000906384
12: pass  1.338656E+03 1.338692E+03 0.00268919
13: pass  1.595488E+03 1.595492E+03 0.000250706
14: pass  1.877683E+03 1.877686E+03 0.000159771
15: pass  2.183202E+03 2.183204E+03 9.16085e-05
16: pass  2.512321E+03 2.512324E+03 0.000119411
17: pass  2.865100E+03 2.865105E+03 0.000174514
18: pass  3.241602E+03 3.241609E+03 0.000215942
19: pass  3.651202E+03 3.651218E+03 0.00043821
20: pass  4.087375E+03 4.087407E+03 0.000782892
21: pass  4.542379E+03 4.542403E+03 0.000528355
22: pass  5.021251E+03 5.021275E+03 0.000477966
23: pass  5.524305E+03 5.524332E+03 0.000488747
24: pass  6.051717E+03 6.051748E+03 0.000512249
25: pass  6.603870E+03 6.603908E+03 0.000575417
26: pass  7.180678E+03 7.180723E+03 0.000626678
27: pass  7.782265E+03 7.782320E+03 0.00070673
28: pass  8.408762E+03 8.408827E+03 0.000772997
29: pass  9.051992E+03 9.052071E+03 0.000872728
30: pass  9.736995E+03 9.737090E+03 0.000975651
31: pass  1.044678E+04 1.044690E+04 0.00114867
32: pass  1.118571E+04 1.118585E+04 0.00125158
33: pass  1.195166E+04 1.195182E+04 0.00133871
34: pass  1.274486E+04 1.274505E+04 0.00149077
35: pass  1.356542E+04 1.356564E+04 0.00162174
36: pass  1.441348E+04 1.441374E+04 0.00180383
37: pass  1.529643E+04 1.529673E+04 0.0019612
38: pass  1.620778E+04 1.620813E+04 0.00215941
39: pass  1.714501E+04 1.714542E+04 0.00239131
40: pass  1.810994E+04 1.811041E+04 0.00259519
41: pass  1.910006E+04 1.910060E+04 0.00282714
42: pass  2.012143E+04 2.012205E+04 0.0030812
43: pass  2.117514E+04 2.117585E+04 0.00335288
44: pass  2.225072E+04 2.225153E+04 0.0036402
45: pass  2.335912E+04 2.336005E+04 0.00398116
46: pass  2.449296E+04 2.449403E+04 0.00436841
47: pass  2.566464E+04 2.566585E+04 0.00471444
48: pass  2.686746E+04 2.686885E+04 0.00517328
49: pass  2.810300E+04 2.810458E+04 0.00562186
50: pass  2.936976E+04 2.937156E+04 0.00612838
51: pass  3.066819E+04 3.067023E+04 0.0066514
52: pass  3.199847E+04 3.200082E+04 0.00734356
53: pass  3.336102E+04 3.336363E+04 0.00782289
54: pass  3.475599E+04 3.475895E+04 0.00851579
55: pass  3.618943E+04 3.619275E+04 0.00917311
56: pass  3.765615E+04 3.765992E+04 0.0100106
57: pass  3.915444E+04 3.915865E+04 0.0107511
58: pass  4.067878E+04 4.068348E+04 0.0115526
59: pass  4.223655E+04 4.224178E+04 0.0123811
60: pass  4.382814E+04 4.383403E+04 0.013437
61: pass  4.545414E+04 4.546069E+04 0.0144081
62: pass  4.711480E+04 4.712221E+04 0.0157251
63: pass  4.881080E+04 4.881906E+04 0.0169196
64: pass  5.054283E+04 5.055216E+04 0.0184562
65: pass  5.231118E+04 5.232156E+04 0.0198389
66: pass  5.411615E+04 5.412778E+04 0.0214862
67: pass  5.595837E+04 5.597134E+04 0.0231726
68: pass  5.783833E+04 5.785277E+04 0.0249599
69: pass  5.975660E+04 5.977265E+04 0.0268517
70: pass  6.171358E+04 6.173154E+04 0.0290937
71: pass  6.371010E+04 6.373006E+04 0.0313196
72: pass  6.575448E+04 6.577676E+04 0.0338721
73: pass  6.784019E+04 6.786497E+04 0.0365137
74: pass  6.996811E+04 6.999570E+04 0.0394167
