# # Cu                                                           FEFF 9.6.4  
# # POT  SCF 100  4.0000   0, core-hole, AFOLP (folp(0)= 1.150)
# # Abs   Z=29 Rmt= 1.437 Rnm= 1.489 K  shell
# # Pot 1 Z=29 Rmt= 1.344 Rnm= 1.381
# # Gam_ch=1.729E+00 H-L exch Vi= 0.000E+00 Vr= 0.000E+00
# # Mu=-7.990E+00 kf=1.994E+00 Vint=-1.742E+01 Rs_int= 1.819
# # PATH  Rmax= 8.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
#  S02=1.000  Temp= 450.00  Debye_temp= 315.00  Global_sig2= 0.00000
#  Energy zero shift, vr, vi    0.00000E+00   0.00000E+00
#  Curved wave amplitude ratio filter   4.000%
#     file         sig2 tot  cw amp ratio   deg  nlegs   reff  inp sig2
#           1       0.01186    100.00     12.00     2   2.5323
#           2       0.01638     22.99      6.00     2   3.5812
#           3       0.01119     10.61     48.00     3   3.7984
#           4       0.01433      7.52     48.00     3   4.3229
#           5       0.01536     55.07     24.00     2   4.3860
#           6       0.01453     11.25     48.00     3   4.7253
#           7       0.01447     17.45     96.00     3   4.7253
#           8       0.01475     18.67     12.00     2   5.0645
#           9       0.01531      8.74     12.00     3   5.0646
#          10       0.01475     39.86     24.00     3   5.0645
#          11       0.01531      9.74     12.00     4   5.0646
#          12       0.06105      4.05     12.00     4   5.0646
#          14       0.01475     31.90     12.00     4   5.0645
#          16       0.01555     27.24     24.00     2   5.6623
#          17       0.01645      8.94     48.00     3   5.8879
#          18       0.01553      5.83     48.00     3   5.8879
#          19       0.01562      6.34     48.00     3   5.8879
#          20       0.01456      4.31     96.00     3   5.9914
#          21       0.01476      4.97     96.00     3   5.9914
#          22       0.01476      4.66     96.00     4   5.9914
#          23       0.01456      4.81     96.00     4   5.9914
#          25       0.01504      6.95      8.00     2   6.2028
#          26       0.01510      5.01     96.00     3   6.2903
#    23/  24 paths used
#  -----------------------------------------------------------------------
#       k          chi          mag           phase @#
     0.0000   -8.755282E-02  1.470638E-01 -2.503905E+00
     0.0500   -8.843116E-02  1.489086E-01 -2.505742E+00
     0.1000   -8.934490E-02  1.507573E-01 -2.507260E+00
     0.1500   -9.227398E-02  1.561987E-01 -2.509608E+00
     0.2000   -9.549476E-02  1.616482E-01 -2.509596E+00
     0.2500   -1.014194E-01  1.705586E-01 -2.504786E+00
     0.3000   -1.080433E-01  1.793987E-01 -2.495273E+00
     0.3500   -1.181936E-01  1.911586E-01 -2.475013E+00
     0.4000   -1.293821E-01  2.026414E-01 -2.449073E+00
     0.4500   -1.447075E-01  2.163479E-01 -2.408912E+00
     0.5000   -1.610946E-01  2.294898E-01 -2.363435E+00
     0.5500   -1.816216E-01  2.440710E-01 -2.302355E+00
     0.6000   -2.026623E-01  2.577775E-01 -2.236972E+00
     0.6500   -2.268695E-01  2.721286E-01 -2.155846E+00
     0.7000   -2.502745E-01  2.853026E-01 -2.071542E+00
     0.7500   -2.746456E-01  2.983356E-01 -1.971997E+00
     0.8000   -2.961128E-01  3.099096E-01 -1.870306E+00
     0.8500   -3.151562E-01  3.205212E-01 -1.754019E+00
     0.9000   -3.287302E-01  3.294405E-01 -1.636474E+00
     0.9500   -3.361116E-01  3.368184E-01 -1.506002E+00
     1.0000   -3.357979E-01  3.423315E-01 -1.375110E+00
     1.0500   -3.260772E-01  3.456717E-01 -1.232480E+00
     1.1000   -3.077729E-01  3.470967E-01 -1.090172E+00
     1.1500   -2.789731E-01  3.460087E-01 -9.378030E-01
     1.2000   -2.428527E-01  3.430919E-01 -7.864293E-01
     1.2500   -1.979566E-01  3.375911E-01 -6.265824E-01
     1.3000   -1.491724E-01  3.304823E-01 -4.683088E-01
     1.3500   -9.580015E-02  3.209831E-01 -3.030772E-01
     1.4000   -4.323417E-02  3.101738E-01 -1.398423E-01
     1.4500    8.685121E-03  2.974004E-01  2.920762E-02
     1.5000    5.523696E-02  2.835763E-01  1.960402E-01
     1.5500    9.643668E-02  2.683436E-01  3.676009E-01
     1.6000    1.289152E-01  2.520685E-01  5.368473E-01
     1.6500    1.534373E-01  2.355027E-01  7.096007E-01
     1.7000    1.669927E-01  2.167735E-01  8.793990E-01
     1.7500    1.720619E-01  1.986346E-01  1.047593E+00
     1.8000    1.676420E-01  1.787814E-01  1.215929E+00
     1.8500    1.561508E-01  1.591317E-01  1.376936E+00
     1.9000    1.392837E-01  1.394285E-01  1.525222E+00
     1.9500    1.196990E-01  1.201365E-01  1.656168E+00
     2.0000    1.007993E-01  1.025281E-01  1.754692E+00
     2.0500    8.448140E-02  8.695640E-02  1.809956E+00
     2.1000    7.421822E-02  7.637167E-02  1.808832E+00
     2.1500    7.052052E-02  7.200420E-02  1.774151E+00
     2.2000    7.230348E-02  7.354657E-02  1.754915E+00
     2.2500    7.968026E-02  8.157988E-02  1.787020E+00
     2.3000    8.595128E-02  9.089916E-02  1.902259E+00
     2.3500    8.663172E-02  9.892919E-02  2.074721E+00
     2.4000    7.892615E-02  1.043316E-01  2.283658E+00
     2.4500    6.370757E-02  1.081211E-01  2.511494E+00
     2.5000    4.040614E-02  1.084193E-01  2.759693E+00
     2.5500    1.246851E-02  1.049775E-01  3.022538E+00
     2.6000   -1.510924E-02  9.785026E-02  3.296625E+00
     2.6500   -3.736855E-02  9.454421E-02  3.547932E+00
     2.7000   -5.533308E-02  8.991282E-02  3.804496E+00
     2.7500   -6.709347E-02  8.404172E-02  4.066118E+00
     2.8000   -7.156629E-02  7.704089E-02  4.333129E+00
     2.8500   -7.214608E-02  7.239088E-02  4.630127E+00
     2.9000   -6.563289E-02  6.724343E-02  4.931693E+00
     2.9500   -5.333660E-02  6.168530E-02  5.238719E+00
     3.0000   -3.723148E-02  5.581293E-02  5.552908E+00
     3.0500   -1.951913E-02  5.323597E-02  5.907776E+00
     3.1000   -9.526428E-04  5.066990E-02  6.264383E+00
     3.1500    1.607526E-02  4.808313E-02  6.624071E+00
     3.2000    2.942021E-02  4.542879E-02  6.987631E+00
     3.2500    4.094747E-02  4.691089E-02  7.344254E+00
     3.3000    4.752484E-02  4.813513E-02  7.694573E+00
     3.3500    4.824715E-02  4.908778E-02  8.039314E+00
     3.4000    4.306206E-02  4.976550E-02  8.379031E+00
     3.4500    3.522408E-02  5.228464E-02  8.685576E+00
     3.5000    2.289593E-02  5.426050E-02  8.989168E+00
     3.5500    7.556775E-03  5.569028E-02  9.288665E+00
     3.6000   -8.906177E-03  5.660992E-02  9.582760E+00
     3.6500   -2.429515E-02  5.768182E-02  9.859538E+00
     3.7000   -3.783020E-02  5.808468E-02  1.013407E+01
     3.7500   -4.797538E-02  5.776359E-02  1.040487E+01
     3.8000   -5.370334E-02  5.669315E-02  1.066936E+01
     3.8500   -5.495066E-02  5.507238E-02  1.092908E+01
     3.9000   -5.184678E-02  5.275046E-02  1.118094E+01
     3.9500   -4.534959E-02  4.979894E-02  1.142151E+01
     4.0000   -3.687839E-02  4.633913E-02  1.164598E+01
     4.0500   -2.747829E-02  4.226828E-02  1.185866E+01
     4.1000   -1.899476E-02  3.804270E-02  1.204358E+01
     4.1500   -1.251905E-02  3.401976E-02  1.218952E+01
     4.2000   -8.518354E-03  3.073323E-02  1.228552E+01
     4.2500   -6.308277E-03  2.845286E-02  1.234280E+01
     4.3000   -5.506987E-03  2.800581E-02  1.236844E+01
     4.3500   -4.870281E-03  2.961896E-02  1.240119E+01
     4.4000   -3.015771E-03  3.300757E-02  1.247488E+01
     4.4500    1.228484E-03  3.703112E-02  1.259955E+01
     4.5000    8.211843E-03  4.163787E-02  1.276489E+01
     4.5500    1.786251E-02  4.641125E-02  1.296144E+01
