# # Cu                                                           FEFF 9.6.4  
# # POT  SCF 100  4.0000   0, core-hole, AFOLP (folp(0)= 1.150)
# # Abs   Z=29 Rmt= 1.437 Rnm= 1.489 K  shell
# # Pot 1 Z=29 Rmt= 1.344 Rnm= 1.381
# # Gam_ch=1.729E+00 H-L exch Vi= 0.000E+00 Vr= 0.000E+00
# # Mu=-7.990E+00 kf=1.994E+00 Vint=-1.742E+01 Rs_int= 1.819
# # PATH  Rmax= 8.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
#  S02=1.000  Temp= 450.00  Debye_temp= 315.00  Global_sig2= 0.00000
#  Energy zero shift, vr, vi    0.00000E+00   0.00000E+00
#  Curved wave amplitude ratio filter   4.000%
#     file         sig2 tot  cw amp ratio   deg  nlegs   reff  inp sig2
#           1       0.01186    100.00     12.00     2   2.5323
#           2       0.01638     22.99      6.00     2   3.5812
#           3       0.01119     10.61     48.00     3   3.7984
#           4       0.01433      7.52     48.00     3   4.3229
#           5       0.01536     55.07     24.00     2   4.3860
#           6       0.01453     11.25     48.00     3   4.7253
#           7       0.01447     17.45     96.00     3   4.7253
#           8       0.01475     18.67     12.00     2   5.0645
#           9       0.01531      8.74     12.00     3   5.0646
#          10       0.01475     39.86     24.00     3   5.0645
#          11       0.01531      9.74     12.00     4   5.0646
#          12       0.06105      4.05     12.00     4   5.0646
#          14       0.01475     31.90     12.00     4   5.0645
#          16       0.01555     27.24     24.00     2   5.6623
#          17       0.01645      8.94     48.00     3   5.8879
#          18       0.01553      5.83     48.00     3   5.8879
#          19       0.01562      6.34     48.00     3   5.8879
#          20       0.01456      4.31     96.00     3   5.9914
#          21       0.01476      4.97     96.00     3   5.9914
#          22       0.01476      4.66     96.00     4   5.9914
#          23       0.01456      4.81     96.00     4   5.9914
#          25       0.01504      6.95      8.00     2   6.2028
#          26       0.01510      5.01     96.00     3   6.2903
#    23/  24 paths used
#  xsedge+50, used to normalize mu           2.4644E-04
#  -----------------------------------------------------------------------
#  omega    e    k    mu    mu0     chi     @#
    8988.525     -7.990   0.000  3.57777E-01  4.28541E-01 -8.75528E-02
    8988.535     -7.981   0.050  3.62863E-01  4.34422E-01 -8.84312E-02
    8988.564     -7.952   0.100  3.67918E-01  4.40304E-01 -8.93449E-02
    8988.611     -7.905   0.150  3.82929E-01  4.57952E-01 -9.22740E-02
    8988.678     -7.838   0.200  3.97685E-01  4.75600E-01 -9.54948E-02
    8988.764     -7.752   0.250  4.20182E-01  5.03397E-01 -1.01419E-01
    8988.868     -7.648   0.300  4.42047E-01  5.31195E-01 -1.08043E-01
    8988.992     -7.524   0.350  4.66169E-01  5.64419E-01 -1.18194E-01
    8989.135     -7.381   0.400  4.89298E-01  5.97643E-01 -1.29382E-01
    8989.297     -7.219   0.450  5.07757E-01  6.30008E-01 -1.44708E-01
    8989.478     -7.038   0.500  5.25085E-01  6.62373E-01 -1.61095E-01
    8989.678     -6.838   0.550  5.33934E-01  6.90219E-01 -1.81622E-01
    8989.897     -6.619   0.600  5.41997E-01  7.18065E-01 -2.02662E-01
    8990.135     -6.381   0.650  5.41929E-01  7.41021E-01 -2.26869E-01
    8990.392     -6.124   0.700  5.42146E-01  7.63976E-01 -2.50275E-01
    8990.669     -5.847   0.750  5.37066E-01  7.82949E-01 -2.74646E-01
    8990.964     -5.552   0.800  5.34177E-01  8.01923E-01 -2.96113E-01
    8991.278     -5.238   0.850  5.30165E-01  8.17854E-01 -3.15156E-01
    8991.612     -4.904   0.900  5.30864E-01  8.33785E-01 -3.28730E-01
    8991.964     -4.552   0.950  5.34845E-01  8.47282E-01 -3.36112E-01
    8992.335     -4.180   1.000  5.45922E-01  8.60778E-01 -3.35798E-01
    8992.726     -3.790   1.050  5.64151E-01  8.72235E-01 -3.26077E-01
    8993.136     -3.380   1.100  5.90691E-01  8.83692E-01 -3.07773E-01
    8993.564     -2.952   1.150  6.26013E-01  8.93306E-01 -2.78973E-01
    8994.012     -2.504   1.200  6.68747E-01  9.02920E-01 -2.42853E-01
