# # FeCN6                                                        FEFF 9.6.4  
# # absorbing
# # POT  SCF 100  4.0000   0, core-hole, AFOLP (folp(0)= 1.150)
# # Abs   Z=26 Rmt= 1.319 Rnm= 1.388 K  shell
# # Pot 1 Z= 6 Rmt= 0.759 Rnm= 1.047
# # Pot 2 Z= 7 Rmt= 0.695 Rnm= 1.047
# # Gam_ch=1.309E+00 H-L exch Vi= 0.000E+00 Vr=-1.500E+01
# # Mu=-1.114E+01 kf=2.681E+00 Vint=-1.891E+01 Rs_int= 1.353
# # PATH  Rmax= 8.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
#  S02=1.000  Temp= 150.00  Debye_temp=1073.00  Global_sig2= 0.00000
#  Energy zero shift, vr, vi    0.00000E+00   0.00000E+00
#  Curved wave amplitude ratio filter   4.000%
#     file         sig2 tot  cw amp ratio   deg  nlegs   reff  inp sig2
#           1       0.00416    100.00      6.00     2   2.0282
#           2       0.00421     35.77      6.00     2   3.2370
#           3       0.00421    122.90     12.00     3   3.2370
#           4       0.00421    103.70      6.00     4   3.2370
#           5       0.00679     13.71     24.00     3   3.4624
#           6       0.00666     14.37      6.00     3   4.0564
#           7       0.00666     10.60      6.00     4   4.0564
#          10       0.00271     13.71      6.00     4   4.4458
#          11       0.01227     47.08     12.00     5   4.4458
#          12       0.01227     40.79      6.00     6   4.4458
#          13       0.00768     10.05     48.00     3   4.5426
#          14       0.00768     12.91     48.00     4   4.5426
#          15       0.00703      6.64     48.00     4   4.6712
#          16       0.00703      9.94     48.00     5   4.6712
#          17       0.00958     12.71     24.00     4   4.8965
#          19       0.00672     11.77     12.00     3   5.2652
#          20       0.00672     16.35     12.00     4   5.2652
#          21       0.00672      7.44     12.00     4   5.2652
#          22       0.00672     20.02     12.00     4   5.2652
#          23       0.00672     19.02     12.00     6   5.2652
#          25       0.00672     11.37     12.00     5   5.2652
#          26       0.00672     27.99     12.00     5   5.2652
#          27       0.00672     12.44     12.00     5   5.2652
#          29       0.05157      5.13     12.00     5   5.2652
#          32       0.05157      6.80     12.00     6   5.2652
#          35       0.00985      5.19     48.00     5   5.4906
#          36       0.00517      4.81     48.00     5   5.4906
#          39       0.00753      8.14      6.00     6   5.6547
#          40       0.03422     28.77     12.00     7   5.6547
#          41       0.03422     25.57      6.00     8   5.6547
#          43       0.00350      4.49     48.00     5   5.7514
#          46       0.00350      8.05     48.00     6   5.7514
#          50       0.01016      4.13     48.00     6   5.8800
#          52       0.01016      7.38     48.00     7   5.8800
#          54       0.00880      4.09     48.00     4   5.9767
#          55       0.01862     11.58     48.00     4   5.9767
#          56       0.00880      7.22     48.00     5   5.9767
#          57       0.00909      9.28     48.00     5   5.9767
#          58       0.01862     20.73     48.00     5   5.9767
#          59       0.00656      7.06     48.00     5   5.9767
#          63       0.01200      8.93     48.00     6   6.1053
#          64       0.01230      5.99     24.00     6   6.1053
#          65       0.01415     12.65     48.00     5   6.1053
#          67       0.01022     22.00     48.00     6   6.1053
#          68       0.00554      4.91     24.00     6   6.1053
#          71       0.00966      8.51     12.00     8   6.4740
#          72       0.00677      8.78      6.00     8   6.4740
#          73       0.00341      4.97     12.00     7   6.4740
#          74       0.00677     10.39     12.00     7   6.4740
#          75       0.00966     15.84     12.00     7   6.4740
#          76       0.00966      5.39     12.00     7   6.4740
#          77       0.00677     11.39     12.00     7   6.4740
#          78       0.00677     13.98      6.00     7   6.4740
#          79       0.00341      9.02     12.00     6   6.4740
#          80       0.00677      6.77     12.00     6   6.4740
#          81       0.00677     16.10     12.00     6   6.4740
#          82       0.00677      6.73     12.00     6   6.4740
#          83       0.00677      6.68     12.00     4   6.4740
#          84       0.00677      8.59     12.00     4   6.4740
#          85       0.00966     10.96     12.00     6   6.4740
#          86       0.00677     19.64     12.00     6   6.4740
#          87       0.00341      6.28     12.00     5   6.4740
#          88       0.00677      4.03     12.00     5   6.4740
#          89       0.00677      4.67      6.00     5   6.4740
#          90       0.00677     11.41     12.00     5   6.4740
#          91       0.00677      4.27     12.00     5   6.4740
#          92       0.00677     11.40     12.00     5   6.4740
#          93       0.00677      7.33      6.00     5   6.4740
#         101       0.00671      5.02     12.00     7   6.4740
#         116       0.02513      4.14     48.00     4   6.8315
#         117       0.01211      7.76     48.00     5   6.8315
#         118       0.01274      5.50      6.00     8   6.8635
#         119       0.07688     19.82     12.00     9   6.8635
#    73/  86 paths used
#  -----------------------------------------------------------------------
#       k          chi          mag           phase @#
     0.0000    5.447764E-01  5.506841E-01  1.717407E+00
     0.0500    5.424280E-01  5.487638E-01  1.722901E+00
     0.1000    5.400681E-01  5.468450E-01  1.728393E+00
     0.1500    5.329352E-01  5.411232E-01  1.744979E+00
     0.2000    5.257032E-01  5.354138E-01  1.761541E+00
     0.2500    5.135175E-01  5.260402E-01  1.789431E+00
     0.3000    5.010832E-01  5.166979E-01  1.817266E+00
     0.3500    4.834243E-01  5.039001E-01  1.856849E+00
     0.4000    4.653575E-01  4.911563E-01  1.896351E+00
     0.4500    4.417739E-01  4.752233E-01  1.948231E+00
     0.5000    4.176943E-01  4.593685E-01  2.000043E+00
     0.5500    3.878859E-01  4.406474E-01  2.065175E+00
     0.6000    3.576690E-01  4.220325E-01  2.130351E+00
     0.6500    3.217221E-01  4.008762E-01  2.210040E+00
     0.7000    2.857750E-01  3.798762E-01  2.290070E+00
     0.7500    2.444920E-01  3.567615E-01  2.386564E+00
     0.8000    2.040535E-01  3.338974E-01  2.484110E+00
     0.8500    1.591575E-01  3.094068E-01  2.601290E+00
     0.9000    1.164796E-01  2.853559E-01  2.721121E+00
     0.9500    7.110741E-02  2.604697E-01  2.865086E+00
     1.0000    2.985380E-02  2.364090E-01  3.014974E+00
     1.0500   -1.189027E-02  2.126120E-01  3.197547E+00
     1.1000   -4.727449E-02  1.904281E-01  3.392470E+00
     1.1500   -8.054205E-02  1.703909E-01  3.633933E+00
     1.2000   -1.051777E-01  1.535453E-01  3.896189E+00
     1.2500   -1.246716E-01  1.421089E-01  4.211792E+00
     1.3000   -1.337987E-01  1.358283E-01  4.539304E+00
     1.3500   -1.353803E-01  1.376133E-01  4.892783E+00
     1.4000   -1.259430E-01  1.441438E-01  5.220363E+00
     1.4500   -1.075399E-01  1.574968E-01  5.531588E+00
     1.5000   -7.935622E-02  1.724283E-01  5.804934E+00
     1.5500   -4.393707E-02  1.899791E-01  6.049799E+00
     1.6000   -2.954348E-03  2.062743E-01  6.268862E+00
     1.6500    4.196913E-02  2.248825E-01  6.470913E+00
     1.7000    8.824686E-02  2.411023E-01  6.657908E+00
     1.7500    1.366238E-01  2.594566E-01  6.837754E+00
     1.8000    1.826902E-01  2.752282E-01  7.009043E+00
     1.8500    2.291312E-01  2.927523E-01  7.182144E+00
     1.9000    2.693411E-01  3.074866E-01  7.350575E+00
     1.9500    3.056405E-01  3.231360E-01  7.523411E+00
     2.0000    3.312800E-01  3.355831E-01  7.693669E+00
     2.0500    3.495901E-01  3.496729E-01  7.875736E+00
     2.1000    3.522319E-01  3.595443E-01  8.056009E+00
     2.1500    3.390981E-01  3.651596E-01  8.234076E+00
     2.2000    3.114903E-01  3.666035E-01  8.409428E+00
     2.2500    2.696509E-01  3.652983E-01  8.594430E+00
     2.3000    2.181216E-01  3.599332E-01  8.773748E+00
     2.3500    1.616314E-01  3.512429E-01  8.946591E+00
     2.4000    1.045000E-01  3.400620E-01  9.112427E+00
     2.4500    4.912877E-02  3.326118E-01  9.276530E+00
     2.5000   -3.610503E-03  3.240994E-01  9.435918E+00
     2.5500   -5.211698E-02  3.149540E-01  9.591018E+00
     2.6000   -9.545159E-02  3.055188E-01  9.742522E+00
     2.6500   -1.367805E-01  2.992111E-01  9.899551E+00
     2.7000   -1.724441E-01  2.926494E-01  1.005491E+01
     2.7500   -2.019676E-01  2.859025E-01  1.020921E+01
     2.8000   -2.250072E-01  2.789808E-01  1.036304E+01
     2.8500   -2.432897E-01  2.730810E-01  1.052412E+01
     2.9000   -2.541184E-01  2.668550E-01  1.068537E+01
     2.9500   -2.573796E-01  2.602427E-01  1.084710E+01
     3.0000   -2.531524E-01  2.531769E-01  1.100947E+01
     3.0500   -2.419156E-01  2.460714E-01  1.117962E+01
     3.1000   -2.235364E-01  2.383785E-01  1.135031E+01
     3.1500   -1.989952E-01  2.300750E-01  1.152139E+01
     3.2000   -1.695870E-01  2.211696E-01  1.169257E+01
     3.2500   -1.367310E-01  2.128643E-01  1.186882E+01
     3.3000   -1.016970E-01  2.040341E-01  1.204458E+01
     3.3500   -6.621555E-02  1.947622E-01  1.221947E+01
     3.4000   -3.191914E-02  1.851581E-01  1.239312E+01
     3.4500    5.838245E-04  1.763435E-01  1.256968E+01
     3.5000    2.965861E-02  1.673653E-01  1.274452E+01
     3.5500    5.445713E-02  1.583534E-01  1.291743E+01
     3.6000    7.451025E-02  1.494366E-01  1.308836E+01
