# # 13-atom                                                      FEFF 9.05   
# # POT  Non-SCF, core-hole, AFOLP (folp(0)= 1.150)
# # Abs   Z=30 Rmt= 1.346 Rnm= 1.427 K  shell
# # Pot 1 Z= 7 Rmt= 0.763 Rnm= 0.992
# # Pot 2 Z= 6 Rmt= 0.811 Rnm= 1.117
# # Gam_ch=1.897E+00 H-L exch
# # Mu= 6.703E+00 kf=2.524E+00 Vint=-1.757E+01 Rs_int= 1.437
# # PATH  Rmax= 3.070,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
#  S02=1.000  Temp= 300.00  Debye_temp= 600.00  Global_sig2= 0.00000
#  Curved wave amplitude ratio filter   4.000%
#     file         sig2 tot  cw amp ratio   deg  nlegs   reff  inp sig2
#           1       0.00468    100.00      2.00     2   1.9832
#           2       0.00475     99.96      2.00     2   1.9835
#           3       0.00651     37.28      2.00     2   2.9510
#           4       0.00670     36.25      2.00     2   2.9861
#           5       0.00644     35.54      2.00     2   3.0115
#           6       0.00660     34.75      2.00     2   3.0399
#     6/   6 paths used
#  xsedge+50, used to normalize mu           2.2523E-04
#  -----------------------------------------------------------------------
#  omega    e    k    mu    mu0     chi     @#
    9663.644      6.712   0.050  7.65348E-01  5.49410E-01  1.97421E-01
    9663.673      6.741   0.100  7.73656E-01  5.56395E-01  1.98635E-01
    9663.720      6.789   0.150  7.98227E-01  5.77025E-01  2.02254E-01
    9663.787      6.855   0.200  8.22784E-01  5.97655E-01  2.05861E-01
    9663.873      6.941   0.250  8.61749E-01  6.30121E-01  2.11826E-01
    9663.978      7.046   0.300  9.00671E-01  6.62587E-01  2.17751E-01
    9664.101      7.170   0.350  9.48340E-01  7.01363E-01  2.25931E-01
    9664.244      7.312   0.400  9.95901E-01  7.40139E-01  2.34015E-01
    9664.406      7.474   0.450  1.04425E+00  7.77449E-01  2.44181E-01
    9664.587      7.655   0.500  1.09238E+00  8.14759E-01  2.54146E-01
    9664.787      7.855   0.550  1.13573E+00  8.45357E-01  2.65925E-01
    9665.006      8.074   0.600  1.17868E+00  8.75955E-01  2.77332E-01
    9665.244      8.313   0.650  1.21546E+00  8.98894E-01  2.90162E-01
    9665.502      8.570   0.700  1.25154E+00  9.21833E-01  3.02363E-01
    9665.778      8.846   0.750  1.28218E+00  9.38408E-01  3.15455E-01
    9666.073      9.141   0.800  1.31172E+00  9.54982E-01  3.27566E-01
    9666.387      9.456   0.850  1.33665E+00  9.66798E-01  3.39884E-01
