# # 13-atom                                                      FEFF 9.05   
# # POT  Non-SCF, core-hole, AFOLP (folp(0)= 1.150)
# # Abs   Z=30 Rmt= 1.346 Rnm= 1.427 K  shell
# # Pot 1 Z= 7 Rmt= 0.763 Rnm= 0.992
# # Pot 2 Z= 6 Rmt= 0.811 Rnm= 1.117
# # Gam_ch=1.897E+00 H-L exch
# # Mu= 6.703E+00 kf=2.524E+00 Vint=-1.757E+01 Rs_int= 1.437
# # PATH  Rmax= 3.070,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
#  S02=1.000  Temp= 300.00  Debye_temp= 600.00  Global_sig2= 0.00000
#  Curved wave amplitude ratio filter   4.000%
#     file         sig2 tot  cw amp ratio   deg  nlegs   reff  inp sig2
#           1       0.00248    100.00      2.00     2   1.9832
#           2       0.00250     99.96      2.00     2   1.9835
#           3       0.00322     36.16      2.00     2   2.9510
#           4       0.00315     35.16      2.00     2   2.9861
#           5       0.00325     34.47      2.00     2   3.0115
#           6       0.00316     33.71      2.00     2   3.0399
#     6/   6 paths used
#  xsedge+50, used to normalize mu           2.2523E-04
#  -----------------------------------------------------------------------
#  omega    e    k    mu    mu0     chi     @#
    9663.644      6.712   0.050  7.69960E-01  5.49293E-01  2.01743E-01
    9663.673      6.741   0.100  7.78331E-01  5.56278E-01  2.03014E-01
    9663.720      6.789   0.150  8.03088E-01  5.76908E-01  2.06805E-01
    9663.787      6.855   0.200  8.27833E-01  5.97538E-01  2.10585E-01
    9663.873      6.941   0.250  8.67111E-01  6.30004E-01  2.16835E-01
    9663.978      7.046   0.300  9.06346E-01  6.62471E-01  2.23048E-01
    9664.101      7.170   0.350  9.54455E-01  7.01247E-01  2.31631E-01
    9664.244      7.312   0.400  1.00246E+00  7.40023E-01  2.40119E-01
    9664.406      7.474   0.450  1.05137E+00  7.77332E-01  2.50802E-01
    9664.587      7.655   0.500  1.10006E+00  8.14642E-01  2.61284E-01
    9664.787      7.855   0.550  1.14410E+00  8.45240E-01  2.73688E-01
    9665.006      8.074   0.600  1.18771E+00  8.75838E-01  2.85717E-01
    9665.244      8.313   0.650  1.22528E+00  8.98777E-01  2.99266E-01
    9665.502      8.570   0.700  1.26213E+00  9.21716E-01  3.12175E-01
    9665.778      8.846   0.750  1.29361E+00  9.38291E-01  3.26055E-01
    9666.073      9.141   0.800  1.32399E+00  9.54866E-01  3.38931E-01
    9666.387      9.456   0.850  1.34979E+00  9.66682E-01  3.52067E-01
    9666.721      9.789   0.900  1.37398E+00  9.78497E-01  3.63735E-01
    9667.073     10.141   0.950  1.39403E+00  9.86910E-01  3.74812E-01
    9667.445     10.513   1.000  1.41187E+00  9.95323E-01  3.83872E-01
    9667.835     10.903   1.050  1.42541E+00  1.00125E+00  3.91352E-01
    9668.245     11.313   1.100  1.43610E+00  1.00717E+00  3.96221E-01
    9668.673     11.742   1.150  1.44203E+00  1.01126E+00  3.98497E-01
    9669.121     12.189   1.200  1.44453E+00  1.01535E+00  3.97592E-01
