# # Cu                                                           FEFF 9.5.1  
# # POT  Non-SCF, core-hole, AFOLP (folp(0)= 1.150)
# # Abs   Z=29 Rmt= 1.449 Rnm= 1.502 K  shell
# # Pot 1 Z=29 Rmt= 1.356 Rnm= 1.393
# # Gam_ch=1.729E+00 H-L exch
# # Mu=-3.777E+00 kf=1.822E+00 Vint=-1.643E+01 Rs_int= 1.990
# # PATH  Rmax= 5.500,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
#  S02=1.000  Temp= 190.00  Debye_temp= 315.00  Global_sig2= 0.00000
#  Curved wave amplitude ratio filter   4.000%
#     file         sig2 tot  cw amp ratio   deg  nlegs   reff  inp sig2
#           1       0.00610    100.00     12.00     2   2.5527
#           2       0.00748     23.00      6.00     2   3.6100
#           3       0.00687     12.34     48.00     3   3.8290
#           4       0.00757      9.42     48.00     3   4.3577
#           5       0.00767     55.83     24.00     2   4.4213
#           6       0.00772     11.78     48.00     3   4.7633
#           7       0.00772     25.47     96.00     3   4.7633
#           8       0.00776     19.17     12.00     2   5.1053
#           9       0.00776      9.63     12.00     3   5.1053
#          10       0.00776     44.57     24.00     3   5.1053
#          11       0.00776      9.70     12.00     4   5.1053
#          12       0.02442      4.46     12.00     4   5.1053
#          14       0.00776     32.37     12.00     4   5.1053
#          16       0.00807      4.64     48.00     3   5.2920
#    14/  15 paths used
#  xsedge+50, used to normalize mu           2.4822E-04
#  -----------------------------------------------------------------------
#  omega    e    k    mu    mu0     chi     @#
    8988.456     -3.767   0.050  3.49736E-01  4.91476E-01 -1.48779E-01
    8988.485     -3.739   0.100  3.51552E-01  4.98291E-01 -1.53977E-01
    8988.532     -3.691   0.150  3.57152E-01  5.18402E-01 -1.69054E-01
    8988.599     -3.625   0.200  3.62617E-01  5.38514E-01 -1.84246E-01
    8988.685     -3.539   0.250  3.71078E-01  5.69923E-01 -2.07994E-01
    8988.789     -3.434   0.300  3.79692E-01  6.01332E-01 -2.31515E-01
    8988.913     -3.310   0.350  3.87899E-01  6.38126E-01 -2.60899E-01
    8989.056     -3.167   0.400  3.97511E-01  6.74921E-01 -2.88713E-01
    8989.218     -3.006   0.450  4.02777E-01  7.09439E-01 -3.18495E-01
    8989.399     -2.825   0.500  4.11798E-01  7.43957E-01 -3.44263E-01
    8989.599     -2.625   0.550  4.16288E-01  7.71852E-01 -3.67709E-01
    8989.818     -2.405   0.600  4.27466E-01  7.99748E-01 -3.84149E-01
    8990.056     -2.167   0.650  4.37502E-01  8.20770E-01 -3.94631E-01
    8990.313     -1.910   0.700  4.56834E-01  8.41792E-01 -3.95519E-01
    8990.590     -1.634   0.750  4.78783E-01  8.57350E-01 -3.88174E-01
    8990.885     -1.339   0.800  5.11411E-01  8.72909E-01 -3.69929E-01
    8991.199     -1.024   0.850  5.48858E-01  8.84451E-01 -3.42842E-01
    8991.533     -0.691   0.900  5.96548E-01  8.95994E-01 -3.05398E-01
