# # GeCl_4                                                       FEFF 9.7.1  
# # POT  Non-SCF, core-hole, AFOLP (folp(0)= 1.150)
# # Abs   Z=32 Rmt= 1.162 Rnm= 1.392 K  shell
# # Pot 1 Z=17 Rmt= 1.249 Rnm= 1.496
# # Gam_ch=2.284E+00 H-L exch Vi= 0.000E+00 Vr= 0.000E+00
# # Mu= 1.987E+00eV kf=1.877E+00 Vint=-1.144E+01eV Rs_int= 1.932
# # PATH  Rmax= 4.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
#  S02=1.000  Temp=   0.00  Debye_temp=   0.00  Global_sig2= 0.00000
#  Energy zero shift, vr, vi    0.00000E+00   0.00000E+00
#  Curved wave amplitude ratio filter   4.000%
#     file         sig2 tot  cw amp ratio   deg  nlegs   reff  inp sig2
#           1       0.00000    100.00      4.00     2   2.0958
#           2       0.00000     16.81     12.00     3   3.8070
#     2/   2 paths used
#  xsedge+50, used to normalize mu           1.8815E-04
#  -----------------------------------------------------------------------
#  omega    e    k    mu    mu0     chi     @#
   11110.972      1.996   0.050  7.99706E-01  6.42119E-01  1.14393E-01
   11111.001      2.025   0.100  8.04546E-01  6.48974E-01  1.13031E-01
   11111.048      2.073   0.150  8.19007E-01  6.69325E-01  1.09036E-01
   11111.115      2.139   0.200  8.33641E-01  6.89676E-01  1.05146E-01
   11111.201      2.225   0.250  8.56860E-01  7.21964E-01  9.89450E-02
   11111.306      2.330   0.300  8.80560E-01  7.54251E-01  9.30451E-02
   11111.429      2.454   0.350  9.09095E-01  7.93852E-01  8.53885E-02
   11111.572      2.596   0.400  9.38561E-01  8.33452E-01  7.83359E-02
   11111.734      2.758   0.450  9.66530E-01  8.72870E-01  7.03065E-02
   11111.915      2.939   0.500  9.95976E-01  9.12287E-01  6.32771E-02
   11112.115      3.139   0.550  1.01871E+00  9.44968E-01  5.62270E-02
   11112.334      3.358   0.600  1.04346E+00  9.77650E-01  5.06062E-02
   11112.572      3.596   0.650  1.06022E+00  1.00100E+00  4.59632E-02
   11112.830      3.854   0.700  1.07935E+00  1.02435E+00  4.30883E-02
   11113.106      4.130   0.750  1.09203E+00  1.03901E+00  4.19597E-02
   11113.401      4.425   0.800  1.10704E+00  1.05366E+00  4.26720E-02
   11113.715      4.739   0.850  1.11775E+00  1.06147E+00  4.54723E-02
   11114.049      5.073   0.900  1.13016E+00  1.06928E+00  4.97265E-02
   11114.401      5.425   0.950  1.13938E+00  1.07210E+00  5.55533E-02
   11114.773      5.797   1.000  1.14916E+00  1.07492E+00  6.19734E-02
   11115.163      6.187   1.050  1.15572E+00  1.07431E+00  6.87238E-02
   11115.573      6.597   1.100  1.16157E+00  1.07369E+00  7.50110E-02
   11116.001      7.025   1.150  1.16353E+00  1.07077E+00  8.00482E-02
   11116.449      7.473   1.200  1.16426E+00  1.06784E+00  8.41242E-02
   11116.916      7.940   1.250  1.14965E+00  1.06348E+00  7.59859E-02
   11117.402      8.426   1.300  1.15687E+00  1.05912E+00  8.71310E-02
   11117.906      8.930   1.350  1.13558E+00  1.05394E+00  7.35144E-02
   11118.430      9.454   1.400  1.14360E+00  1.04876E+00  8.62815E-02
   11118.973      9.997   1.450  1.13656E+00  1.04325E+00  8.57060E-02
   11119.535     10.559   1.500  1.13107E+00  1.03774E+00  8.65622E-02
   11120.116     11.140   1.550  1.12686E+00  1.03223E+00  8.85437E-02
   11120.716     11.740   1.600  1.12480E+00  1.02673E+00  9.25957E-02
   11121.335     12.359   1.650  1.12420E+00  1.02149E+00  9.77518E-02
   11121.974     12.998   1.700  1.12553E+00  1.01626E+00  1.04843E-01
   11122.631     13.655   1.750  1.12708E+00  1.01148E+00  1.11709E-01
   11123.307     14.331   1.800  1.12961E+00  1.00670E+00  1.19617E-01
   11124.002     15.026   1.850  1.13079E+00  1.00257E+00  1.25553E-01
   11124.717     15.741   1.900  1.13181E+00  9.98430E-01  1.31393E-01
   11125.450     16.474   1.950  1.13046E+00  9.95069E-01  1.34032E-01
   11126.203     17.227   2.000  1.12803E+00  9.91708E-01  1.35630E-01
   11126.974     17.998   2.050  1.12322E+00  9.90247E-01  1.32634E-01
   11127.765     18.789   2.100  1.11698E+00  9.88787E-01  1.28196E-01
   11128.574     19.598   2.150  1.10904E+00  9.87327E-01  1.22039E-01
   11129.403     20.427   2.200  1.09914E+00  9.85866E-01  1.13871E-01
   11130.251     21.275   2.250  1.08658E+00  9.85399E-01  1.01770E-01
   11131.117     22.142   2.300  1.07201E+00  9.84932E-01  8.76380E-02
   11132.003     23.027   2.350  1.05534E+00  9.84465E-01  7.13730E-02
   11132.908     23.932   2.400  1.03656E+00  9.83998E-01  5.29583E-02
   11133.832     24.856   2.450  1.01029E+00  9.79309E-01  3.13669E-02
   11134.775     25.799   2.500  9.82852E-01  9.74619E-01  8.37335E-03
   11135.737     26.761   2.550  9.54553E-01  9.69930E-01 -1.57155E-02
   11136.718     27.742   2.600  9.25793E-01  9.65241E-01 -4.05075E-02
   11137.718     28.742   2.650  8.99008E-01  9.62192E-01 -6.51272E-02
   11138.737     29.762   2.700  8.72957E-01  9.59144E-01 -8.91725E-02
   11139.776     30.800   2.750  8.48167E-01  9.56096E-01 -1.12091E-01
   11140.833     31.857   2.800  8.25188E-01  9.53047E-01 -1.33296E-01
   11141.909     32.933   2.850  8.09121E-01  9.54346E-01 -1.51632E-01
   11143.005     34.029   2.900  7.95947E-01  9.55645E-01 -1.66998E-01
   11144.119     35.143   2.950  7.86136E-01  9.56943E-01 -1.78889E-01
   11145.253     36.277   3.000  7.80084E-01  9.58242E-01 -1.86873E-01
   11146.405     37.429   3.050  7.79903E-01  9.61365E-01 -1.90076E-01
   11147.577     38.601   3.100  7.83991E-01  9.64488E-01 -1.88805E-01
   11148.767     39.791   3.150  7.92404E-01  9.67611E-01 -1.83020E-01
   11149.977     41.001   3.200  8.05050E-01  9.70734E-01 -1.72835E-01
   11151.206     42.230   3.250  8.22871E-01  9.74991E-01 -1.58024E-01
   11152.453     43.478   3.300  8.44393E-01  9.79247E-01 -1.39507E-01
   11153.720     44.744   3.350  8.69098E-01  9.83504E-01 -1.17863E-01
   11155.006     46.030   3.400  8.96354E-01  9.87761E-01 -9.37814E-02
   11156.311     47.335   3.450  9.26395E-01  9.92821E-01 -6.77598E-02
   11157.635     48.659   3.500  9.57518E-01  9.97881E-01 -4.09380E-02
   11158.978     50.002   3.550  9.88914E-01  1.00294E+00 -1.41462E-02
   11160.340     51.364   3.600  1.01979E+00  1.00800E+00  1.18240E-02
   11161.721     52.745   3.650  1.04976E+00  1.01324E+00  3.63934E-02
   11163.121     54.145   3.700  1.07776E+00  1.01848E+00  5.87081E-02
   11164.541     55.565   3.750  1.10325E+00  1.02371E+00  7.82732E-02
   11165.979     57.003   3.800  1.12582E+00  1.02895E+00  9.47382E-02
   11167.436     58.460   3.850  1.14503E+00  1.03403E+00  1.07899E-01
   11168.913     59.937   3.900  1.16086E+00  1.03911E+00  1.17643E-01
   11170.408     61.432   3.950  1.17334E+00  1.04420E+00  1.24047E-01
   11171.922     62.947   4.000  1.18260E+00  1.04928E+00  1.27296E-01
   11173.456     64.480   4.050  1.18808E+00  1.05376E+00  1.27555E-01
   11175.008     66.033   4.100  1.19085E+00  1.05824E+00  1.25241E-01
   11176.580     67.604   4.150  1.19120E+00  1.06272E+00  1.20692E-01
   11178.171     69.195   4.200  1.18947E+00  1.06720E+00  1.14237E-01
   11179.780     70.805   4.250  1.18516E+00  1.07086E+00  1.06336E-01
   11181.409     72.433   4.300  1.17931E+00  1.07451E+00  9.70731E-02
   11183.057     74.081   4.350  1.17214E+00  1.07817E+00  8.66743E-02
   11184.724     75.748   4.400  1.16385E+00  1.08182E+00  7.53284E-02
   11186.410     77.434   4.450  1.15331E+00  1.08424E+00  6.32420E-02
   11188.115     79.139   4.500  1.14196E+00  1.08665E+00  5.04764E-02
   11189.839     80.863   4.550  1.12992E+00  1.08906E+00  3.71735E-02
   11191.582     82.606   4.600  1.11737E+00  1.09148E+00  2.34863E-02
   11193.344     84.368   4.650  1.10318E+00  1.09274E+00  9.45598E-03
   11195.125     86.149   4.700  1.08887E+00  1.09400E+00 -4.63838E-03
   11196.925     87.950   4.750  1.07471E+00  1.09526E+00 -1.85498E-02
   11198.745     89.769   4.800  1.06100E+00  1.09653E+00 -3.19969E-02
   11200.583     91.607   4.850  1.04663E+00  1.09656E+00 -4.49569E-02
   11202.440     93.464   4.900  1.03346E+00  1.09659E+00 -5.68268E-02
   11204.317     95.341   4.950  1.02186E+00  1.09662E+00 -6.72668E-02
   11206.212     97.236   5.000  1.01221E+00  1.09665E+00 -7.59556E-02
   11208.127     99.151   5.050  1.00364E+00  1.09564E+00 -8.28321E-02
   11210.060    101.084   5.100  9.97608E-01  1.09463E+00 -8.74318E-02
   11212.013    103.037   5.150  9.94293E-01  1.09362E+00 -8.95911E-02
   11213.985    105.009   5.200  9.93769E-01  1.09261E+00 -8.92350E-02
   11215.975    106.999   5.250  9.95177E-01  1.09082E+00 -8.65135E-02
   11217.985    109.009   5.300  9.99263E-01  1.08903E+00 -8.13541E-02
   11220.014    111.038   5.350  1.00578E+00  1.08724E+00 -7.39700E-02
   11222.062    113.086   5.400  1.01437E+00  1.08545E+00 -6.46645E-02
   11224.129    115.153   5.450  1.02387E+00  1.08283E+00 -5.37754E-02
   11226.215    117.239   5.500  1.03459E+00  1.08021E+00 -4.17169E-02
   11228.320    119.344   5.550  1.04600E+00  1.07759E+00 -2.89605E-02
   11230.444    121.468   5.600  1.05758E+00  1.07497E+00 -1.59860E-02
   11232.587    123.611   5.650  1.06869E+00  1.07216E+00 -3.20507E-03
   11234.749    125.773   5.700  1.07904E+00  1.06936E+00  8.95607E-03
   11236.930    127.954   5.750  1.08825E+00  1.06655E+00  2.01238E-02
   11239.131    130.155   5.800  1.09599E+00  1.06374E+00  2.99954E-02
   11241.350    132.374   5.850  1.10223E+00  1.06099E+00  3.84661E-02
   11243.588    134.612   5.900  1.10666E+00  1.05825E+00  4.52979E-02
   11245.846    136.870   5.950  1.10923E+00  1.05550E+00  5.04249E-02
   11248.122    139.146   6.000  1.10996E+00  1.05276E+00  5.38548E-02
   11250.418    141.442   6.050  1.10968E+00  1.05049E+00  5.58483E-02
   11252.732    143.756   6.100  1.10780E+00  1.04823E+00  5.63416E-02
   11255.066    146.090   6.150  1.10449E+00  1.04597E+00  5.54766E-02
   11257.418    148.443   6.200  1.09991E+00  1.04371E+00  5.34132E-02
   11259.790    150.814   6.250  1.09427E+00  1.04145E+00  5.03158E-02
   11262.181    153.205   6.300  1.08772E+00  1.03919E+00  4.63432E-02
   11264.591    155.615   6.350  1.08043E+00  1.03693E+00  4.16407E-02
   11267.020    158.044   6.400  1.07254E+00  1.03467E+00  3.63373E-02
   11269.468    160.492   6.450  1.06416E+00  1.03240E+00  3.05457E-02
   11271.934    162.959   6.500  1.05542E+00  1.03014E+00  2.43656E-02
   11274.421    165.445   6.550  1.04781E+00  1.02923E+00  1.79334E-02
   11276.926    167.950   6.600  1.03994E+00  1.02831E+00  1.12292E-02
   11279.450    170.474   6.650  1.03189E+00  1.02739E+00  4.34599E-03
   11281.993    173.017   6.700  1.02378E+00  1.02648E+00 -2.60885E-03
   11284.555    175.579   6.750  1.01574E+00  1.02556E+00 -9.50897E-03
   11287.136    178.160   6.800  1.00792E+00  1.02464E+00 -1.62082E-02
   11289.737    180.761   6.850  1.00049E+00  1.02373E+00 -2.25427E-02
   11292.356    183.380   6.900  9.93628E-01  1.02281E+00 -2.83365E-02
   11294.994    186.019   6.950  9.87517E-01  1.02189E+00 -3.34099E-02
   11297.652    188.676   7.000  9.82335E-01  1.02098E+00 -3.75898E-02
   11300.328    191.353   7.050  9.79178E-01  1.02120E+00 -4.08620E-02
   11303.024    194.048   7.100  9.77247E-01  1.02143E+00 -4.29404E-02
   11305.739    196.763   7.150  9.76642E-01  1.02166E+00 -4.37292E-02
   11308.472    199.496   7.200  9.77411E-01  1.02188E+00 -4.31819E-02
   11311.225    202.249   7.250  9.79549E-01  1.02211E+00 -4.13078E-02
   11313.997    205.021   7.300  9.82987E-01  1.02234E+00 -3.81735E-02
   11316.788    207.812   7.350  9.87601E-01  1.02256E+00 -3.39019E-02
   11319.597    210.622   7.400  9.93214E-01  1.02279E+00 -2.86655E-02
   11322.426    213.450   7.450  9.99608E-01  1.02302E+00 -2.26775E-02
   11325.274    216.298   7.500  1.00653E+00  1.02324E+00 -1.61795E-02
   11328.141    219.165   7.550  1.01424E+00  1.02384E+00 -9.29159E-03
   11331.027    222.051   7.600  1.02199E+00  1.02445E+00 -2.37552E-03
   11333.932    224.957   7.650  1.02951E+00  1.02505E+00  4.31000E-03
   11336.857    227.881   7.700  1.03656E+00  1.02565E+00  1.05308E-02
   11339.800    230.824   7.750  1.04294E+00  1.02625E+00  1.60883E-02
   11342.762    233.786   7.800  1.04847E+00  1.02686E+00  2.08273E-02
   11345.743    236.768   7.850  1.05305E+00  1.02746E+00  2.46405E-02
   11348.744    239.768   7.900  1.05662E+00  1.02806E+00  2.74693E-02
   11351.763    242.787   7.950  1.05915E+00  1.02866E+00  2.93009E-02
   11354.802    245.826   8.000  1.06067E+00  1.02927E+00  3.01633E-02
   11357.859    248.883   8.050  1.06070E+00  1.02925E+00  3.02046E-02
   11360.936    251.960   8.100  1.05983E+00  1.02924E+00  2.93822E-02
   11364.031    255.055   8.150  1.05817E+00  1.02922E+00  2.77972E-02
   11367.146    258.170   8.200  1.05583E+00  1.02921E+00  2.55613E-02
   11370.280    261.304   8.250  1.05292E+00  1.02919E+00  2.27893E-02
   11373.432    264.457   8.300  1.04958E+00  1.02918E+00  1.95929E-02
   11376.604    267.628   8.350  1.04591E+00  1.02916E+00  1.60775E-02
   11379.795    270.819   8.400  1.04200E+00  1.02915E+00  1.23401E-02
   11383.005    274.029   8.450  1.03795E+00  1.02913E+00  8.46911E-03
   11386.234    277.258   8.500  1.03385E+00  1.02912E+00  4.54636E-03
   11389.482    280.506   8.550  1.02877E+00  1.02812E+00  6.27555E-04
   11392.749    283.773   8.600  1.02377E+00  1.02713E+00 -3.23464E-03
   11396.035    287.059   8.650  1.01890E+00  1.02613E+00 -6.96287E-03
   11399.340    290.364   8.700  1.01428E+00  1.02513E+00 -1.04765E-02
   11402.665    293.689   8.750  1.00997E+00  1.02413E+00 -1.36916E-02
   11406.008    297.032   8.800  1.00606E+00  1.02314E+00 -1.65224E-02
   11409.370    300.394   8.850  1.00265E+00  1.02214E+00 -1.88845E-02
   11412.752    303.776   8.900  9.99804E-01  1.02114E+00 -2.06990E-02
   11416.152    307.176   8.950  9.97600E-01  1.02015E+00 -2.18980E-02
   11419.571    310.595   9.000  9.96085E-01  1.01915E+00 -2.24297E-02
   11423.010    314.034   9.050  9.94213E-01  1.01714E+00 -2.23467E-02
   11426.467    317.492   9.100  9.93082E-01  1.01514E+00 -2.15391E-02
   11429.944    320.968   9.150  9.92671E-01  1.01313E+00 -2.00237E-02
   11433.440    324.464   9.200  9.92926E-01  1.01112E+00 -1.78480E-02
   11436.954    327.979   9.250  9.93764E-01  1.00911E+00 -1.50899E-02
   11440.488    331.512   9.300  9.95075E-01  1.00711E+00 -1.18543E-02
   11444.041    335.065   9.350  9.96725E-01  1.00510E+00 -8.26859E-03
   11447.613    338.637   9.400  9.98569E-01  1.00309E+00 -4.47592E-03
   11451.204    342.228   9.450  1.00045E+00  1.00108E+00 -6.27174E-04
   11454.814    345.838   9.500  1.00222E+00  9.99077E-01  3.12719E-03
   11458.443    349.467   9.550  1.00454E+00  9.97871E-01  6.64133E-03
   11462.091    353.115   9.600  1.00651E+00  9.96665E-01  9.81777E-03
   11465.758    356.782   9.650  1.00802E+00  9.95458E-01  1.25509E-02
   11469.444    360.468   9.700  1.00900E+00  9.94252E-01  1.47597E-02
   11473.149    364.173   9.750  1.00939E+00  9.93045E-01  1.63900E-02
   11476.874    367.898   9.800  1.00918E+00  9.91839E-01  1.74156E-02
   11480.617    371.641   9.850  1.00836E+00  9.90633E-01  1.78368E-02
   11484.379    375.403   9.900  1.00697E+00  9.89426E-01  1.76780E-02
   11488.161    379.185   9.950  1.00504E+00  9.88220E-01  1.69835E-02
   11491.961    382.985  10.000  1.00265E+00  9.87013E-01  1.58130E-02
   11495.781    386.805  10.050  1.00032E+00  9.86263E-01  1.42271E-02
   11499.619    390.643  10.100  9.97646E-01  9.85513E-01  1.22940E-02
   11503.477    394.501  10.150  9.94716E-01  9.84762E-01  1.00952E-02
   11507.353    398.378  10.200  9.91607E-01  9.84012E-01  7.71068E-03
   11511.249    402.273  10.250  9.88396E-01  9.83262E-01  5.21696E-03
   11515.164    406.188  10.300  9.85151E-01  9.82511E-01  2.68474E-03
   11519.098    410.122  10.350  9.81936E-01  9.81761E-01  1.78430E-04
   11523.051    414.075  10.400  9.78809E-01  9.81011E-01 -2.24387E-03
   11527.022    418.047  10.450  9.75819E-01  9.80260E-01 -4.52971E-03
   11531.013    422.038  10.500  9.73015E-01  9.79510E-01 -6.63143E-03
   11535.023    426.048  10.550  9.70437E-01  9.78760E-01 -8.50539E-03
   11539.052    430.077  10.600  9.68124E-01  9.78009E-01 -1.01115E-02
   11543.101    434.125  10.650  9.66112E-01  9.77259E-01 -1.14132E-02
   11547.168    438.192  10.700  9.64430E-01  9.76509E-01 -1.23781E-02
   11551.254    442.278  10.750  9.63105E-01  9.75758E-01 -1.29796E-02
   11555.359    446.383  10.800  9.62154E-01  9.75008E-01 -1.31981E-02
   11559.484    450.508  10.850  9.61586E-01  9.74258E-01 -1.30231E-02
   11563.627    454.651  10.900  9.61400E-01  9.73507E-01 -1.24556E-02
   11567.789    458.813  10.950  9.61580E-01  9.72757E-01 -1.15090E-02
   11571.971    462.995  11.000  9.62100E-01  9.72007E-01 -1.02109E-02
   11576.171    467.195  11.050  9.63046E-01  9.71405E-01 -8.61939E-03
   11580.391    471.415  11.100  9.64266E-01  9.70803E-01 -6.74385E-03
   11584.629    475.654  11.150  9.65696E-01  9.70201E-01 -4.64992E-03
   11588.887    479.911  11.200  9.67261E-01  9.69599E-01 -2.41419E-03
