# Orientation sensitive EELS calculation - beam energy =   300.keV
# Sample to beam orientation :    0.000    1.000    0.000
# Collection and convergence semiangle:      2.400      0.000   ; # points:     5 x 3
# Detector position:     0.0000     0.0000
# Units are a_0^2 / eV.  Multiply by 28.00 10^-18  to get cm^-2 / eV.  Or by 28 to get Mbarn / eV.
# Relativistic and cross-terms.
# # POT  SCF 100  4.0000   0, screened core-hole, AFOLP (folp(0)= 1.150)                            
# # Gam_ch=1.729E+00 H-L exch Vi= 0.000E+00 Vr= 0.000E+00                                           
#  S02=1.000  Temp=   0.00  Debye_temp=   0.00  Global_sig2= 0.00000                                
#  Energy zero shift, vr, vi    0.00000E+00   0.00000E+00                                           
#  Energy       total         atomic-bg     fine-struct   xx            xy            xz            yx            yy            yz            zx            zy            zz
   8988.45      0.134787E-11  0.197692E-11 -0.629048E-12  0.276668E-13  0.337800E-35  0.165926E-36  0.394224E-35  0.129150E-11  0.413774E-35  0.171803E-36  0.441986E-35  0.287073E-13
   8988.46      0.136540E-11  0.200401E-11 -0.638610E-12  0.280268E-13  0.239498E-35  0.815230E-37  0.277114E-35  0.130831E-11  0.277417E-35  0.110910E-36  0.286821E-35  0.290665E-13
   8988.49      0.138281E-11  0.203109E-11 -0.648276E-12  0.283843E-13  0.588175E-36  0.205102E-37  0.629317E-36  0.132500E-11  0.740561E-36  0.359385E-37  0.858111E-36  0.294229E-13
   8988.53      0.143342E-11  0.211157E-11 -0.678150E-12  0.294236E-13 -0.108608E-35 -0.442009E-37 -0.121538E-35  0.137353E-11 -0.124602E-35 -0.397928E-37 -0.124602E-35  0.304590E-13
   8988.60      0.148315E-11  0.219203E-11 -0.708876E-12  0.304449E-13 -0.203591E-35 -0.763221E-37 -0.182432E-35  0.142123E-11 -0.315032E-35 -0.821996E-37 -0.305629E-35  0.314767E-13
   8988.68      0.155771E-11  0.231963E-11 -0.761923E-12  0.319758E-13  0.129514E-35  0.734947E-37  0.129514E-35  0.149273E-11  0.157516E-35  0.705560E-37  0.155165E-35  0.330031E-13
   8988.79      0.163079E-11  0.244720E-11 -0.816414E-12  0.334763E-13  0.347916E-35  0.250937E-36  0.423147E-35  0.156281E-11  0.592449E-35  0.297957E-36  0.554833E-35  0.344995E-13
   8988.91      0.170752E-11  0.260177E-11 -0.894251E-12  0.350515E-13  0.502481E-35  0.184812E-36  0.464865E-35  0.163639E-11  0.846356E-35  0.114282E-36  0.846356E-35  0.360792E-13
   8989.06      0.178407E-11  0.275634E-11 -0.972273E-12  0.366223E-13  0.822829E-35  0.271584E-36  0.883954E-35  0.170978E-11  0.105324E-34  0.459664E-36  0.996819E-35  0.376598E-13
   8989.22      0.184098E-11  0.291100E-11 -0.107002E-11  0.377892E-13  0.360054E-35  0.160757E-36  0.369458E-35  0.176433E-11  0.677085E-35  0.243042E-36  0.686489E-35  0.388677E-13
