# Orientation sensitive EELS calculation - beam energy =   300.keV
# Sample to beam orientation :    0.000    0.000    1.000
# Collection and convergence semiangle:      1.100      0.300   ; # points:   100 x 1
# Detector position:     0.0000     0.0000
# Units are a_0^2 / eV.  Multiply by 28.00 10^-18  to get cm^-2 / eV.  Or by 28 to get Mbarn / eV.
# Relativistic and cross-terms.
# # POT  SCF 100  4.5000   0, screened core-hole, AFOLP (folp(0)= 1.150)                            
# # Gam_ch=8.676E-02 H-L exch Vi= 4.000E-01 Vr= 1.000E+00                                           
# FMS rfms= 6.0000                                                                                  
#  S02=1.000  Temp=   0.00  Debye_temp=   0.00  Global_sig2= 0.00000                                
#  Energy zero shift, vr, vi    0.00000E+00   0.00000E+00                                           
#  Energy       total         atomic-bg     fine-struct   xx            xy            xz            yx            yy            yz            zx            zy            zz
   273.822      0.308730E-07  0.685598E-07 -0.376868E-07  0.932460E-08  0.148311E-27 -0.215860E-18  0.113206E-27  0.930217E-08 -0.149516E-33 -0.237317E-18 -0.426786E-32  0.122462E-07
   274.546      0.371481E-07  0.874095E-07 -0.502614E-07  0.110569E-07  0.161998E-27 -0.343003E-18  0.484081E-27  0.110243E-07 -0.271088E-33 -0.393200E-18 -0.881715E-32  0.150669E-07
   275.193      0.458066E-07  0.114613E-06 -0.688066E-07  0.135285E-07  0.551355E-27 -0.566423E-18  0.734657E-27  0.134733E-07 -0.215771E-32 -0.658861E-18 -0.184308E-31  0.188047E-07
   275.765      0.582480E-07  0.155261E-06 -0.970128E-07  0.172543E-07  0.107877E-26 -0.981512E-18  0.135788E-26  0.171455E-07 -0.267262E-32 -0.113464E-17 -0.586289E-32  0.238481E-07
   276.260      0.769410E-07  0.218345E-06 -0.141404E-06  0.231903E-07  0.296632E-26 -0.180344E-17  0.588146E-28  0.229484E-07 -0.879216E-32 -0.203456E-17 -0.334543E-31  0.308022E-07
   276.679      0.106217E-06  0.319708E-06 -0.213491E-06  0.330870E-07  0.992798E-26 -0.352397E-17  0.901544E-26  0.325074E-07 -0.188317E-31 -0.381687E-17 -0.297505E-31  0.406222E-07
   277.022      0.152808E-06  0.484093E-06 -0.331286E-06  0.497683E-07  0.116616E-25 -0.709429E-17  0.124787E-25  0.483789E-07 -0.236018E-31 -0.731734E-17 -0.167310E-30  0.546604E-07
   277.289      0.222221E-06  0.730928E-06 -0.508707E-06  0.756812E-07  0.129292E-25 -0.130413E-16  0.491514E-25  0.728033E-07 -0.658298E-31 -0.130068E-16 -0.336085E-30  0.737366E-07
   277.479      0.304124E-06  0.101782E-05 -0.713692E-06  0.106748E-06  0.425565E-25 -0.179716E-16  0.430913E-25  0.102557E-06 -0.503870E-31 -0.183281E-16 -0.602238E-30  0.948183E-07
   277.594      0.367317E-06  0.123144E-05 -0.864118E-06  0.130375E-06  0.926649E-25 -0.179224E-16  0.351253E-25  0.126343E-06 -0.213273E-31 -0.216880E-16 -0.453110E-30  0.110599E-06
   277.632      0.389679E-06  0.130528E-05 -0.915600E-06  0.138524E-06  0.486206E-25 -0.172300E-16  0.317074E-25  0.135024E-06 -0.648793E-31 -0.277311E-16 -0.288756E-30  0.116131E-06
   277.682      0.419100E-06  0.140093E-05 -0.981828E-06  0.148701E-06  0.727947E-25 -0.211336E-16  0.243208E-25  0.146344E-06 -0.152542E-31 -0.342808E-16 -0.560484E-30  0.124055E-06
   277.718      0.439587E-06  0.146711E-05 -0.102752E-05  0.155621E-06  0.217609E-25 -0.459804E-17  0.100481E-25  0.154324E-06 -0.881043E-31 -0.233218E-16 -0.122413E-30  0.129642E-06
   277.784      0.475180E-06  0.158291E-05 -0.110773E-05  0.166888E-06 -0.254175E-25 -0.750206E-17 -0.147078E-25  0.168104E-06  0.847511E-32 -0.258873E-16 -0.107628E-30  0.140188E-06
   277.870      0.512900E-06  0.171190E-05 -0.119900E-05  0.177353E-06 -0.329798E-25 -0.138298E-16 -0.360771E-25  0.182359E-06  0.238214E-32 -0.404296E-17 -0.242524E-30  0.153189E-06
   277.975      0.544798E-06  0.183569E-05 -0.129089E-05  0.184405E-06 -0.127662E-24 -0.281514E-17 -0.212353E-24  0.193300E-06 -0.401187E-31 -0.132319E-16 -0.254383E-30  0.167092E-06
   278.099      0.566095E-06  0.193802E-05 -0.137192E-05  0.188094E-06 -0.180643E-24  0.107241E-16 -0.172989E-24  0.198272E-06  0.171739E-31 -0.651989E-17 -0.256405E-30  0.179729E-06
   278.241      0.576570E-06  0.201042E-05 -0.143385E-05  0.189738E-06 -0.791177E-25 -0.197540E-16 -0.662474E-25  0.196027E-06 -0.948224E-32 -0.215578E-16 -0.365425E-30  0.190804E-06
