# Loss function from file ../../../EpsInv/opconsKK.dat located in directory
# /home/hebhop/Research/SE_Runs/Cu/Feff/FMS/NewFEFF90
#
# Header from ../../../EpsInv/opconsKK.dat
###############################################################################################
# name:     copper
# formula:  Cu
# sites:    Cu1
# refer1:   Kittel, ISSP
# refer2:
# schoen:
# notes1:   metal, fcc
# POT  SCF  30  5.8000   0, core-hole, AFOLP (folp(0)= 1.150)
#   omega (eV)      epsilon_1       epsilon_2       n               kappa           mu (cm^(-1))    R               epsinv   
###############################################################################################
#
# omega	-Im[eps**{-1}]
0.100000E-01 0.200377E-05
0.187377E-01 0.375479E-05
0.301966E-01 0.605133E-05
0.443767E-01 0.889400E-05
0.612778E-01 0.122838E-04
0.809001E-01 0.162222E-04
0.103244E+00 0.207119E-04
0.128308E+00 0.257567E-04
0.156094E+00 0.313630E-04
0.186601E+00 0.375396E-04
0.219829E+00 0.442962E-04
0.255778E+00 0.516470E-04
0.294448E+00 0.596102E-04
0.335840E+00 0.682089E-04
0.379952E+00 0.774725E-04
0.426786E+00 0.874377E-04
0.476341E+00 0.981510E-04
0.528617E+00 0.109672E-03
0.583614E+00 0.122151E-03
0.641332E+00 0.135778E-03
0.701772E+00 0.150597E-03
0.764932E+00 0.166793E-03
0.830814E+00 0.184605E-03
0.899417E+00 0.204370E-03
0.970741E+00 0.228846E-03
0.104479E+01 0.257416E-03
0.112155E+01 0.291314E-03
0.120104E+01 0.341257E-03
0.128325E+01 0.423802E-03
0.136818E+01 0.572177E-03
0.145583E+01 0.123225E-02
0.154620E+01 0.491870E-02
0.163929E+01 0.684898E-02
0.173511E+01 0.694897E-02
0.183364E+01 0.726992E-02
0.193490E+01 0.771431E-02
0.203888E+01 0.822273E-02
0.214557E+01 0.877877E-02
0.225499E+01 0.937101E-02
0.236714E+01 0.100036E-01
0.248200E+01 0.106842E-01
0.259958E+01 0.114054E-01
0.271989E+01 0.121750E-01
0.284291E+01 0.129868E-01
0.296866E+01 0.138229E-01
0.309712E+01 0.147020E-01
0.322831E+01 0.155753E-01
0.336222E+01 0.165053E-01
0.349886E+01 0.174650E-01
0.363821E+01 0.185313E-01
0.378028E+01 0.198780E-01
0.392508E+01 0.215084E-01
0.407259E+01 0.239943E-01
0.422283E+01 0.277211E-01
0.437579E+01 0.342924E-01
0.453147E+01 0.484245E-01
0.468987E+01 0.920745E-01
0.485099E+01 0.566846E+00
0.500000E+01 0.517637E+00
0.500136E+01 0.512823E+00
0.500544E+01 0.498001E+00
0.501225E+01 0.475606E+00
0.502177E+01 0.448253E+00
0.503401E+01 0.418373E+00
0.504898E+01 0.387824E+00
0.506667E+01 0.357715E+00
0.508708E+01 0.328071E+00
0.511021E+01 0.309293E+00
0.513606E+01 0.304005E+00
0.516463E+01 0.298458E+00
0.519592E+01 0.292830E+00
0.522994E+01 0.288486E+00
0.526667E+01 0.285148E+00
0.530613E+01 0.282491E+00
0.534831E+01 0.280297E+00
0.539320E+01 0.278838E+00
0.544082E+01 0.277893E+00
0.549117E+01 0.277504E+00
0.554423E+01 0.277720E+00
0.560001E+01 0.278381E+00
0.565852E+01 0.279650E+00
0.571974E+01 0.281451E+00
0.578369E+01 0.283651E+00
0.585036E+01 0.286411E+00
0.591975E+01 0.289619E+00
0.599186E+01 0.293312E+00
0.606669E+01 0.297515E+00
0.614424E+01 0.302107E+00
0.622451E+01 0.307324E+00
0.630751E+01 0.313071E+00
0.639322E+01 0.319311E+00
0.648166E+01 0.326349E+00
0.657282E+01 0.333992E+00
0.666670E+01 0.342498E+00
0.676330E+01 0.352075E+00
0.686262E+01 0.362520E+00
0.696466E+01 0.374535E+00
0.706943E+01 0.388090E+00
0.717691E+01 0.403263E+00
0.728712E+01 0.420480E+00
0.740004E+01 0.440043E+00
0.751569E+01 0.461940E+00
0.763406E+01 0.486529E+00
0.775515E+01 0.514638E+00
0.787896E+01 0.544881E+00
0.800550E+01 0.578430E+00
0.813475E+01 0.614865E+00
0.826672E+01 0.652175E+00
0.840142E+01 0.692070E+00
0.853884E+01 0.728559E+00
0.867898E+01 0.761461E+00
0.882184E+01 0.791447E+00
0.896742E+01 0.806779E+00
0.911572E+01 0.815555E+00
0.926674E+01 0.818700E+00
0.942049E+01 0.817017E+00
0.957695E+01 0.813870E+00
0.973614E+01 0.818358E+00
0.989805E+01 0.823195E+00
0.100627E+02 0.825961E+00
0.102300E+02 0.826836E+00
0.104001E+02 0.825226E+00
0.105729E+02 0.818569E+00
0.107484E+02 0.809086E+00
0.109266E+02 0.801281E+00
0.111076E+02 0.797670E+00
0.112913E+02 0.794625E+00
0.114777E+02 0.794088E+00
0.116668E+02 0.797693E+00
0.118586E+02 0.795906E+00
0.120532E+02 0.788567E+00
0.122505E+02 0.776668E+00
0.124505E+02 0.759500E+00
0.126532E+02 0.735819E+00
0.128586E+02 0.714618E+00
0.130668E+02 0.694457E+00
0.132777E+02 0.675333E+00
0.134913E+02 0.658201E+00
0.137076E+02 0.642220E+00
0.139267E+02 0.627567E+00
0.141485E+02 0.613517E+00
0.143730E+02 0.600203E+00
0.146002E+02 0.588556E+00
0.148301E+02 0.577546E+00
0.150628E+02 0.568060E+00
0.152981E+02 0.560025E+00
0.155362E+02 0.553614E+00
0.157771E+02 0.551490E+00
0.160206E+02 0.553756E+00
0.162669E+02 0.560032E+00
0.165158E+02 0.571685E+00
